id,authors,title,year,venue,entityUrl
1240,"Shariq Rizvi, Jayant R. Haritsa",Maintaining Data Privacy in Association Rule Mining,2002,VLDB,conf/vldb/RizviH02
1241,"Philip A. Bernstein, Rachel Pottinger",Merging Models Based on Given Correspondences,2003,VLDB,conf/vldb/PottingerB03
1242,Nancy Wiegand,"Review of Spatial databases with application to GIS by Philippe Rigaux, Michel Scholl, and Agnes Voisard. Morgan Kaufmann 2002",2003,SIGMOD Record,journals/sigmod/Wiegand03
1243,"Kaizhong Zhang, Qicheng Ma, Jason Tsong-Li Wang, Xinhuan Zheng, Xiong Wang, Dennis Shasha, Zasha Weinberg, Bruce A. Shapiro",An Approximate Search Engine for Structural Databases,2000,SIGMOD Conference,conf/sigmod/WangSSZZW00
1244,Alon Y. Halevy,Answering queries using views: A survey,2001,VLDB J.,journals/vldb/Halevy01
1245,"K. Sel�uk Candan, Wen-Syan Li, Kyoji Hirata, Yoshinori Hara",SEMCOG: An Object-based Image Retrieval System and Its Visual Query Interface,1997,SIGMOD Conference,conf/sigmod/LiCHH97
1246,"Graham Cormode, Flip Korn, S. Muthukrishnan, Divesh Srivastava",Finding Hierarchical Heavy Hitters in Data Streams,2003,VLDB,conf/vldb/CormodeKMS03
1247,Mark Sullivan,Tribeca: A Stream Database Manager for Network Traffic Analysis,1996,VLDB,conf/vldb/Sullivan96
1248,"Debabrata Dey, Veda C. Storey, Terence M. Barron",A Complete Temporal Relational Algebra,1996,VLDB J.,journals/vldb/DeyBS96
1249,"Mustafa Jarrar, Peter Spyns, Robert Meersman",Data Modelling versus Ontology Engineering,2002,SIGMOD Record,journals/sigmod/SpynsMJ02
1250,"Anil Nerode, Colin Bell, Raymond T. Ng, V. S. Subrahmanian",Implementing Deductive Databases by Mixed Integer Programming,1996,ACM Trans. Database Syst.,journals/tods/BellNNS96
1251,"Guido Moerkotte, Sven Helmer",Evaluation of Main Memory Join Algorithms for Joins with Set Comparison Join Predicates,1997,VLDB,conf/vldb/HelmerM97
1252,"Raghav Kaushik, Jeffrey F. Naughton, Surajit Chaudhuri",On Relational Support for XML Publishing: Beyond Sorting and Tagging,2003,SIGMOD Conference,conf/sigmod/ChaudhuriKN03
1253,"Chinya V. Ravishankar, Ming-Ling Lo",Spatial Joins Using Seeded Trees,1994,SIGMOD Conference,conf/sigmod/LoR94
1254,"Jianhua Lv, Yubin Bao, Hongjun Lu, Ge Yu, Guoren Wang, Yaxin Yu",XBase: making your gigabyte disk queriable,2002,SIGMOD Conference,conf/sigmod/LuWYBLY02
1255,"Ling Liu, Eduardo Delgado Assad, Calton Pu, Renato Fileto, Claudia Bauzer Medeiros",POESIA: An ontological workflow approach for composing Web services in agriculture,2003,VLDB J.,journals/vldb/FiletoLPAM03
1256,"Alejandro Guti�rrez, Philippe Pucheral, Jean-Marc Th�venin, Hermann Steffen",Database Graph Views: A Practical Model to Manage Persistent Graphs,1994,VLDB,conf/vldb/GutierrezPST94
1257,"Jack A. Orenstein, D. N. Kamber",Accessing a Relational Database through an Object-Oriented Database Interface,1995,VLDB,conf/vldb/OrensteinK95
1258,"John A. Miller, Amit P. Sheth, Ismailcem Budak Arpinar, Krys Kochut",Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab,2001,SIGMOD Record,journals/sigmod/ShethMKA01
1259,"Samuel Madden, Wei Hong, Joseph M. Hellerstein","The sensor spectrum: technology, trends, and requirements",2003,SIGMOD Record,journals/sigmod/HellersteinHM03
1260,"Georg Gottlob, Robert Baumgartner, Sergio Flesca",Visual Web Information Extraction with Lixto,2001,VLDB,conf/vldb/BaumgartnerFG01
1261,"James Clifford, Albert Croker, Alexander Tuzhilin",On Completeness of Historical Relational Query Languages,1994,ACM Trans. Database Syst.,journals/tods/CliffordC94
1262,Luca Cardelli,Describing Semistructured Data,2001,SIGMOD Record,journals/sigmod/Cardelli01
1263,"Mark Klein, Abraham Bernstein, Chrysanthos Dellarocas","Towards Adaptive Workflow Systems, CSCW-98 Workshop Report",1999,SIGMOD Record,journals/sigmod/BernsteinDK99
1264,"Minos N. Garofalakis, Banu �zden, Abraham Silberschatz",On Periodic Resource scheduling for Continuous-Media Databases,1998,VLDB J.,journals/vldb/GarofalakisOS98
1265,"Terence Critchlow, Matthew Coleman, David Buttler, Wei Han, Daniel Rocco, Li Xiong, Ling Liu, Calton Pu, Renato Fileto",Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?,2002,SIGMOD Record,journals/sigmod/ButtlerCCFHLPRX02
1266,"Michael Watzke, Gang Luo, Curt Ellmann, Jeffrey F. Naughton",Locking Protocols for Materialized Aggregate Join Views,2003,VLDB,conf/vldb/LuoNEW03
1267,"Kamalakar Karlapalem, Helen P. Yeung, Patrick C. K. Hung",CapBasED-AMS: A Capability-based and Event-driven Activity Management System,1996,SIGMOD Conference,conf/sigmod/HungYK96
1268,"Vish Jumani, Lyman Do, David Van Rossum, Pamela Drew, Wei Jin",Issues in Developing Very Large Data Warehouses,1998,VLDB,conf/vldb/DoDJJR98
1269,"Kyuseok Shim, Sridhar Ramaswamy, Rajeev Rastogi",Efficient Algorithms for Mining Outliers from Large Data Sets,2000,SIGMOD Conference,conf/sigmod/RamaswamyRS00
1270,"Inderpal Singh Mumick, Dallan Quass, Barinderpal Singh Mumick",Maintenance of Data Cubes and Summary Tables in a Warehouse,1997,SIGMOD Conference,conf/sigmod/MumickQM97
1271,"Vassilis J. Tsotras, Gad M. Landau, Jeanette P. Schmidt",Historical Queries Along Multiple Lines of Time Evolution,1995,VLDB J.,journals/vldb/LandauST95
1272,"David B. Lomet, Daniel Barbar�, Jos� A. Blakeley, Michael Stonebraker, Daniel H. Fishman",The Impact of Database Research on Industrial Products (Panel Summary),1994,SIGMOD Record,journals/sigmod/BarbaraBFLS94
1273,Donald D. Chamberlin,XQuery: A Query Language for XML,2003,SIGMOD Conference,conf/sigmod/Chamberlin03
1274,"Svein-Olaf Hvasshovd, �ystein Torbj�rnsen, Svein Erik Bratsberg, Per Holager","The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response",1995,VLDB,conf/vldb/HvasshovdTBH95
1275,Nikos Mamoulis,Efficient Processing of Joins on Set-valued Attributes,2003,SIGMOD Conference,conf/sigmod/Mamoulis03
1276,"Guido Moerkotte, Sophie Cluet, Vassilis Christophides",Evaluating Queries with Generalized Path Expressions,1996,SIGMOD Conference,conf/sigmod/ChristophidesCM96
1277,"Ramez Elmasri, Richard T. Snodgrass, Babis Theodoulidis, Inderpal Singh Mumick, Arie Segev, M. Tamer �zsu, Umeshwar Dayal, Niki Pissinou, Barbara Pernici",Towards an Infrastructure for Temporal Databases: Report of an Invitational ARPA/NSF Workshop,1994,SIGMOD Record,journals/sigmod/PissinouSEMOPSTD94
1278,"Zoran Despotovic, Manfred Hauswirth, Karl Aberer, Philippe Cudr�-Mauroux, Magdalena Punceva, Anwitaman Datta, Roman Schmidt",P-Grid: a self-organizing structured P2P system,2003,SIGMOD Record,journals/sigmod/AbererCDDHPS03
1279,"Johannes Gehrke, Yong Yao",The Cougar Approach to In-Network Query Processing in Sensor Networks,2002,SIGMOD Record,journals/sigmod/YaoG02
1280,Frank Neven,Automata Theory for XML Researchers,2002,SIGMOD Record,journals/sigmod/Neven02
1281,?,ACT-NET - The Active Database Management System Manifesto: A Rulebase of ADBMS Features,1996,SIGMOD Record,journals/sigmod/ACT-NET96
1282,"Lukasz Golab, M. Tamer �zsu",Issues in data stream management,2003,SIGMOD Record,journals/sigmod/GolabO03
1283,"Wolfgang K�fer, Curtis E. Dyreson, Arie Segev, Krishna G. Kulkarni, Michael D. Soo, Don S. Batory, Ramez Elmasri, Nikos A. Lorentzos, Nick Kline, John F. Roddick, Gad Ariav, James Clifford, Richard T. Snodgrass, Suryanarayana M. Sripada, T. Y. Cliff Leung, Fabio Grandi, Ilsoo Ahn, Christian S. Jensen",TSQL2 Language Specification,1994,SIGMOD Record,journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94
1284,"Paolo Atzeni, Riccardo Torlone",MDM: a Multiple-Data-Model Tool for the Management of Heterogeneous Database Schemes,1997,SIGMOD Conference,conf/sigmod/AtzeniT97
1285,"Andreas M�ller, Marco P�tke, Thomas Seidl, Hans-Peter Kriegel",Spatial Data Management for Computer Aided Design,2001,SIGMOD Conference,conf/sigmod/KriegelMPS01
1286,"Guido Moerkotte, Thomas Neumann, Sven Helmer",Estimating the Output Cardinality of Partial Preaggregation with a Measure of Clusteredness,2003,VLDB,conf/vldb/HelmerNM03
1287,Michael L. Brodie,Illuminating the Dark Side of Web Services,2003,VLDB,conf/vldb/Brodie03
1288,"Jeffrey F. Naughton, Ambuj Shatdal, Chander Kant",Cache Conscious Algorithms for Relational Query Processing,1994,VLDB,conf/vldb/ShatdalKN94
1289,"Panos Kalnis, Dimitris Papadias",Proxy-Server Architectures for OLAP,2001,SIGMOD Conference,conf/sigmod/KalnisP01
1290,"Alexander Brodsky, Sushil Jajodia, Claudio Bettini, Xiaoyang Sean Wang",Logical Design for Temporal Databases with Multiple Granularities,1997,ACM Trans. Database Syst.,journals/tods/WangBBJ97
1291,"Prasan Roy, Philip Bohannon, Jayant R. Haritsa, J�r�me Sim�on, Maya Ramanath, Juliana Freire",LegoDB: Customizing Relational Storage for XML Documents,2002,VLDB,conf/vldb/BohannonFHRRS02
1292,"Daniel S. Weld, Alon Y. Halevy, Zachary G. Ives",An XML query engine for network-bound data,2002,VLDB J.,journals/vldb/IvesHW02
1293,"Maur�cio R. Mediano, Marcelo Dreux, Marco A. Casanova",V-Trees - A Storage Method for Long Vector Data,1994,VLDB,conf/vldb/MedianoCD94
1294,C. Mohan,Application Servers: Born-Again TP Monitors for the Web? (Panel Abstract),2001,SIGMOD Conference,conf/sigmod/Mohan01
1295,"David A. Wood, Mark D. Hill, David J. DeWitt, Anastassia Ailamaki",DBMSs on a Modern Processor: Where Does Time Go?,1999,VLDB,conf/vldb/AilamakiDHW99
1296,Marcel Kornacker,High-Performance Extensible Indexing,1999,VLDB,conf/vldb/Kornacker99
1297,Won Kim,"Message from Editor-in-Chief, ACM Transactions on Database Systems",1999,SIGMOD Record,journals/sigmod/Kim99
1298,"James Frew, Jeff Dozier",Data Management for Earth System Science,1997,SIGMOD Record,journals/sigmod/FrewD97
1299,"Roy Goldman, Jennifer Widom",DataGuides: Enabling Query Formulation and Optimization in Semistructured Databases,1997,VLDB,conf/vldb/GoldmanW97
1300,"Bruce G. Lindsay, Gurmeet Singh Manku, Sridhar Rajagopalan",Approximate Medians and other Quantiles in One Pass and with Limited Memory,1998,SIGMOD Conference,conf/sigmod/RajagopalanML98
1301,"Thomas Papadakis, Peter Triantafillou",On-Demand Data Elevation in Hierarchical Multimedia Storage Servers,1997,VLDB,conf/vldb/TriantafillouP97
1302,"Witold Litwin, Marie-Anne Neimat, Donovan A. Schneider",RP*: A Family of Order Preserving Scalable Distributed Data Structures,1994,VLDB,conf/vldb/LitwinNS94
1303,"Oded Shmueli, Jennifer Widom",Foreword by the VLDB '98 PC Chairmen: Best Papers of VLDB '98,2000,VLDB J.,journals/vldb/WidomS00
1304,Philippe Bonnet,Going public: open-source databases and database research,2002,SIGMOD Conference,conf/sigmod/Bonnet02
1305,"Enrico Nardelli, Timos K. Sellis, Andrew U. Frank, St�phane Grumbach, Hans-J�rg Schek, Manolis Koubarakis, Michel Scholl, Ralf Hartmut G�ting, Barbara Pernici, Christian S. Jensen, Nikos A. Lorentzos, Babis Theodoulidis, Yannis Manolopoulos, Peter Widmayer",Chorochronos: A Research Network for Spatiotemporal Database Systems,1999,SIGMOD Record,journals/sigmod/FrankGGJKLMNPSSSTW99
1306,"Luis Gravano, Eugene Agichtein",QXtract: A Building Block for Efficient Information Extraction from Plain-Text Databases,2003,SIGMOD Conference,conf/sigmod/AgichteinG03
1307,"Sushil Jajodia, Amihai Motro, Edgar H. Sibley, Alexander Brodsky, Larry Kerschberg, Xiaoyang Sean Wang, Daniel Barbar�",Information Systems Research at George Mason University,1997,SIGMOD Record,journals/sigmod/JajodiaBBKMSW97
1308,"Edward Y. Chang, Chen Li",Answering queries with useful bindings,2001,ACM Trans. Database Syst.,journals/tods/LiC01
1309,"Dean Jacobs, Shahram Ghandeharizadeh, Richard Hull",Heraclitus: Elevating Deltas to be First-Class Citizens in a Database Programming Language,1996,ACM Trans. Database Syst.,journals/tods/GhandeharizadehHJ96
1310,Brad Hammond,Using Referential Integrity To Easily Define Consistent Subset Replicas,1996,VLDB,conf/vldb/Hammond96
1311,Sharma Chakravarthy,SENTINEL: An Object-Oriented DBMS With Event-Based Rules,1997,SIGMOD Conference,conf/sigmod/Chakravarthy97
1312,"Laura M. Haas, Michael J. Carey, Vivekananda Maganty, John H. Williams",PESTO : An Integrated Query/Browser for Object Databases,1996,VLDB,conf/vldb/CareyHMW96
1313,"David J. Abel, Dean Kuo, Kerry L. Taylor",Integrating Modelling Systems for Environmental Management Information Systems,1997,SIGMOD Record,journals/sigmod/AbelTK97
1314,"Andrew Nierman, Cong Yu, Jignesh M. Patel, Adriane Chapman, Nuwee Wiwatwattana, H. V. Jagadish, Yuqing Wu, Laks V. S. Lakshmanan, Divesh Srivastava, Shurug Al-Khalifa, Stelios Paparizos",TIMBER: A native XML database,2002,VLDB J.,journals/vldb/JagadishACLNPPSWWY02
1315,Brad Adelberg,NoDoSE - A Tool for Semi-Automatically Extracting Semi-Structured Data from Text Documents,1998,SIGMOD Conference,conf/sigmod/Adelberg98
1316,Phillip B. Gibbons,Distinct Sampling for Highly-Accurate Answers to Distinct Values Queries and Event Reports,2001,VLDB,conf/vldb/Gibbons01
1317,"Sang Hyuk Son, Kwei-Jay Lin, Azer Bestavros",Report on First International Workshop on Real-Time Database Systems,1996,SIGMOD Record,journals/sigmod/BestavrosLS96
1318,"S. Seshadri, Jayant R. Haritsa",Real-Time Index Concurrency Control,1996,SIGMOD Record,journals/sigmod/HaritsaS96
1319,"H. V. Jagadish, Christos Faloutsos, Flip Korn",Efficiently Supporting Ad Hoc Queries in Large Datasets of Time Sequences,1997,SIGMOD Conference,conf/sigmod/KornJF97
1320,"Torben Bach Pedersen, Curtis E. Dyreson, Christian S. Jensen",Extending Practical Pre-Aggregation in On-Line Analytical Processing,1999,VLDB,conf/vldb/PedersenJD99
1321,Karl Aberer,Call for Book Reviews,2003,SIGMOD Record,journals/sigmod/Aberer03
1322,"John Shepherd, Quan Z. Sheng, Du Q. Huynh, Jialie Shen, Anne H. H. Ngu",CMVF: A Novel Dimension Reduction Scheme for Efficient Indexing in A Large Image Database,2003,SIGMOD Conference,conf/sigmod/ShenNSHS03
1323,"Sophie Cluet, Katarzyna Smaga, J�r�me Sim�on, Claude Delobel",Your Mediators Need Data Conversion!,1998,SIGMOD Conference,conf/sigmod/CluetDSS98
1324,"Mario A. Nascimento, Yannis Theodoridis",Generating Spatiotemporal Datasets on the WWW,2000,SIGMOD Record,journals/sigmod/TheodoridisN00
1325,"Hiroyuki Kitagawa, Satoshi Takano, Seiichi Koizumi, Atsuyuki Morishima",Enabling End-users to Construct Data-intensive Web-sites from XML Repositories: An Example-based Approach,2001,VLDB,conf/vldb/MorishimaKKT01
1326,"Kofi Fynn, Henry B. Kon, Cheng Hian Goh, Thomas Lee, St�phane Bressan, Stuart E. Madnick, Michael Siegel, Annie W. Shum, Marta Jessica Jakobisiak, Tito Pena, Jessica Qu, Karim Hussein",The COntext INterchange Mediator Prototype,1997,SIGMOD Conference,conf/sigmod/BressanGFJHKLMPQSS97
1327,"Maitrayi Sabaratnam, �ystein Torbj�rnsen, Rune Humborstad, Svein-Olaf Hvasshovd",1-Safe Algorithms for Symmetric Site Configurations,1997,VLDB,conf/vldb/HumborstadSHT97
1328,"Peter J. Barclay, Kenneth J. Mitchell, Jessie B. Kennedy",A Framework for Information Visualisation,1996,SIGMOD Record,journals/sigmod/KennedyMB96
1329,Bart Kuijpers,Introduction to Constraint Databases - Book Review,2002,SIGMOD Record,journals/sigmod/Kuijpers02
1330,"Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. VanderMeer",Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,1999,ACM Trans. Database Syst.,journals/tods/DattaVCK99
1331,"Yannis E. Ioannidis, Chee Yong Chan",Bitmap Index Design and Evaluation,1998,SIGMOD Conference,conf/sigmod/ChanI98
1332,Karl Aberer,Book review column,2003,SIGMOD Record,journals/sigmod/Aberer03d
1333,"Fabien De Marchi, Jean-Marc Petit, Farouk Toumani, St�phane Lopes",Analysis of existing databases at the logical level: the DBA companion project,2003,SIGMOD Record,journals/sigmod/MarchiLPT03
1334,"Gang Zhou, Richard Hull",A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches,1996,SIGMOD Conference,conf/sigmod/HullZ96
1335,Raghu Ramakrishnan,From Browsing to Interacting: DBMS Support for Responive Websites (Abstract),2000,SIGMOD Conference,conf/sigmod/Ramakrishnan00
1336,Greg Hope,Enterprise Transaction Processing on Windows NT,1995,SIGMOD Conference,conf/sigmod/Hope95
1337,"Sonia Bergamaschi, Maurizio Vincini, Silvana Castano",Semantic Integration of Semistructured and Structured Data Sources,1999,SIGMOD Record,journals/sigmod/BergamaschiCV99
1338,"Nita Goyal, Mosh� M. Zloof, Charles Hoch, Michael Suckow, Ravi Krishnamurthy, Brian Meckler",Picture Programming Project,1997,SIGMOD Conference,conf/sigmod/GoyalHKMSZ97
1339,"Daniela Florescu, Helena Galhardas, Dennis Shasha, Eric Simon",AJAX: An Extensible Data Cleaning Tool,2000,SIGMOD Conference,conf/sigmod/Galhardas00
1340,"Feng Tian, David J. DeWitt",Tuple Routing Strategies for Distributed Eddies,2003,VLDB,conf/vldb/TianD03
1341,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",Aqua: A Fast Decision Support Systems Using Approximate Query Answers,1999,VLDB,conf/vldb/AcharyaGP99
1342,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",Systematic Development of Data Mining-Based Data Quality Tools,2003,VLDB,conf/vldb/LubbersGJ03
1343,"Andreas Gr�nhagen, Steffen Rost, Donald Kossmann, Daniela Florescu",XL: a platform for web services,2002,SIGMOD Conference,conf/sigmod/FlorescuGKR02
1344,"Heum-Geun Kang, Chin-Wan Chung",Exploiting Versions for On-line Data Warehouse Maintenance in MOLAP Servers,2002,VLDB,conf/vldb/KangC02
1345,"Alfons Kemper, Guido Moerkotte, Michael Steinbrunn, Klaus Peithner",Optimizing Disjunctive Queries with Expensive Predicates,1994,SIGMOD Conference,conf/sigmod/KemperMPS94
1346,"Klaus R. Dittrich, Dirk Jonscher",An Approach for Building Secure Database Federations,1994,VLDB,conf/vldb/JonscherD94
1347,"Alberto O. Mendelzon, Paolo Atzeni",Guest Editorial: Databases and the Web,2000,VLDB J.,journals/vldb/AtzeniM00
1348,"Kotagiri Ramamohanarao, Alistair Moffat, Justin Zobel",Guidelines for Presentation and Comparison of Indexing Techniques,1996,SIGMOD Record,journals/sigmod/ZobelMR96
1349,Axel Uhl,A Bandwidth Model for Internet Search,2002,VLDB,conf/vldb/Uhl02
1350,"Peter J. Haas, Rakesh Agrawal, Jerry Kiernan",A System for Watermarking Relational Databases,2003,SIGMOD Conference,conf/sigmod/AgrawalK03
1351,"Jiawei Han, Ke Wang, Joyce M. W. Lam, Guozhu Dong, Jian Pei",Mining Multi-Dimensional Constrained Gradients in Data Cubes,2001,VLDB,conf/vldb/DongHLPW01
1352,"M. Tamer �zsu, David Toman, Mariano P. Consens, David DeHaan",A Comprehensive XQuery to SQL Translation using Dynamic Interval Encoding,2003,SIGMOD Conference,conf/sigmod/DeHaanTCO03
1353,Karl Aberer,Advanced XML Data Processing - Guest Editor's Introduction,2001,SIGMOD Record,journals/sigmod/Aberer01
1354,"Thomas Ohler, Peter Widmayer, Bruno Becker, Stephan Gschwind, Bernhard Seeger",An Asymptotically Optimal Multiversion B-Tree,1996,VLDB J.,journals/vldb/BeckerGOSW96
1355,Marianne Winslett,Interview with Rakesh Agrawal,2003,SIGMOD Record,journals/sigmod/Winslett03b
1356,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick",Supporting Multiple View Maintenance Policies,1997,SIGMOD Conference,conf/sigmod/ColbyKLMR97
1357,"Maria E. Orlowska, Ralf M�hlberger, Bartek Kiepuszewski",FlowBack: Providing Backward Recovery for Workflow Systems,1998,SIGMOD Conference,conf/sigmod/KiepuszewskiMO98
1358,"Maguelonne Teisseire, Pascal Poncelet, Rosine Cicchetti",Towards Event-Driven Modelling for Database Design,1994,VLDB,conf/vldb/TeisseirePC94
1359,"Viswanath Poosala, Swarup Acharya, Phillip B. Gibbons",Congressional Samples for Approximate Answering of Group-By Queries,2000,SIGMOD Conference,conf/sigmod/AcharyaGP00
1360,"Thomas A. M�ck, Martin L. Polaschek",A Configrable Type Hierarchy Index for OODB,1997,VLDB J.,journals/vldb/MuckP97
1361,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann, Jens Clau�en",Functional-Join Processing,2000,VLDB J.,journals/vldb/BraumandlCKK00
1362,"Surajit Chaudhuri, Vivek R. Narasayya",AutoAdmin 'What-if' Index Analysis Utility,1998,SIGMOD Conference,conf/sigmod/ChaudhuriN98
1363,"Niels Nes, Martin L. Kersten, Nikos Mamoulis, Arjen P. de Vries",Efficient k-NN search on vertically decomposed data,2002,SIGMOD Conference,conf/sigmod/VriesMNK02
1364,Praveen Seshadri,"``Honey, I Shrunk the DBMS'': Footprint, Mobility, and Beyond (Panel)",1999,SIGMOD Conference,conf/sigmod/Seshadri99
1365,"Thomas Brinkhoff, Hans-Peter Kriegel",The Impact of Global Clustering on Spatial Database Systems,1994,VLDB,conf/vldb/BrinkhoffK94
1366,"J�rgen Frohn, Georg Lausen, Heinz Uphoff",Access to Objects by Path Expressions and Rules,1994,VLDB,conf/vldb/FrohnLU94
1367,"Andr� Seifert, Marc H. Scholl",A Multi-version Cache Replacement and Prefetching Policy for Hybrid Data Delivery Environments,2002,VLDB,conf/vldb/SeifertS02
1368,"Philip S. Yu, Hui-I Hsiao, Ming-Syan Chen",On Parallel Execution of Multiple Pipelined Hash Joins,1994,SIGMOD Conference,conf/sigmod/HsiaoCY94
1369,Jan Chomicki,Preference formulas in relational queries,2003,ACM Trans. Database Syst.,journals/tods/Chomicki03
1370,"Michael O. Ball, Louiqa Raschid, Meng Ma, Zhengying Zhao",Supply Chain Infrastructures: System Integration and Information Sharing,2002,SIGMOD Record,journals/sigmod/BallMRZ02
1371,"David M. Malon, Edward N. May",Critical Database Technologies for High Energy Physics,1997,VLDB,conf/vldb/MalonM97
1372,Richard T. Snodgrass,Chair's Message,2000,SIGMOD Record,journals/sigmod/Snodgrass00
1373,"Chengkai Li, P. P. S. Narayan, Henry F. Korth, Philip Bohannon",Composing XSL Transformations with XML Publishing Views,2003,SIGMOD Conference,conf/sigmod/LiBKN03
1374,Robert H. Gerber,Informix Online XPS,1995,SIGMOD Conference,conf/sigmod/Gerber95
1375,"Dimitris Papadias, Jimeng Sun, Yufei Tao",Analysis of predictive spatio-temporal queries,2003,ACM Trans. Database Syst.,journals/tods/TaoSP03
1376,"Susanne Englert, Jim Gray, Kenneth Baclawski, Peter J. Weinberger, Prakash Sundaresan",Quickly Generating Billion-Record Synthetic Databases,1994,SIGMOD Conference,conf/sigmod/GraySEBW94
1377,"Am�lie Marian, J�r�me Sim�on",Projecting XML Documents,2003,VLDB,conf/vldb/MarianS03
1378,Hannu Toivonen,Sampling Large Databases for Association Rules,1996,VLDB,conf/vldb/Toivonen96
1379,"Andr� Eickler, Carsten Andreas Gerlhof, Donald Kossmann",A Performance Evaluation of OID Mapping Techniques,1995,VLDB,conf/vldb/EicklerGK95
1380,Marianne Winslett,"Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More",2001,SIGMOD Record,journals/sigmod/Winslett01
1381,Xiaolei Qian,Political Winds Change Direction Again,1995,SIGMOD Record,journals/sigmod/Qian95
1382,"Surajit Chaudhuri, Gerhard Weikum",Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,2000,VLDB,conf/vldb/ChaudhuriW00
1383,"Bhaskaran Raman, Joseph M. Hellerstein, Vijayshankar Raman",Online dynamic reordering,2000,VLDB J.,journals/vldb/RamanRH00
1384,"David Bloom, Chris Clifton, Hector Garcia-Molina",HyperFile: A Data and Query Model for Documents,1995,VLDB J.,journals/vldb/CliftonGB95
1385,"Kimberly Keeton, Joseph M. Hellerstein, David A. Patterson",A Case for Intelligent Disks (IDISKs),1998,SIGMOD Record,journals/sigmod/KeetonPH98
1386,"Volker Markl, Guy M. Lohman",Learning table access cardinalities with LEO,2002,SIGMOD Conference,conf/sigmod/MarklL02
1387,Jan Jannink,Implementing Deletion in B+-Trees,1995,SIGMOD Record,journals/sigmod/Jannink95
1388,"K. Bernhard Schiefer, Fred Koo, T. Y. Cliff Leung, Linqi Liu, Jarek Gryz, Xiaoyan Qian, Qi Cheng",Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database,1999,VLDB,conf/vldb/ChengGKLLQS99
1389,Nam Huyn,Multiple-View Self-Maintenance in Data Warehousing Environments,1997,VLDB,conf/vldb/Huyn97
1390,"Mark Porter, Andrew Laursen, Jeffrey Olkin",Oracle Media Server: Providing Consumer Based Interactive Access to Multimedia Data,1994,SIGMOD Conference,conf/sigmod/LaursenOP94
1391,"Edward L. Wimmers, Rakesh Agrawal",A Framework for Expressing and Combining Preferences,2000,SIGMOD Conference,conf/sigmod/AgrawalW00
1392,"K. Mediratta, Ee-Peng Lim, J. Stenoien, S. Musukula, Jaideep Srivastava, H.-R. Yang, D. Clements, M. Ganesh, San-Yih Hwang",The MYRIAD Federated Database Prototype,1994,SIGMOD Conference,conf/sigmod/HwangLYMMGCSS94
1393,"Ki Hong Kim, Yong Sik Kwon, Sang Kyun Cha, Jang Ho Park, Byoung Dae Park, Sangho Lee",Xmas: An Extensible Main-Memory Storage System for High-Performance Applications,1998,SIGMOD Conference,conf/sigmod/ParkKKLPC98
1394,"Alexandros Ntoulas, Junghoo Cho",Effective Change Detection Using Sampling,2002,VLDB,conf/vldb/ChoN02
1395,"Terry Gaasterland, Jorge Lobo",Qualified Answers That Reflect User Needs and Preferences,1994,VLDB,conf/vldb/GaasterlandL94
1396,"Wenfei Fan, Peter Buneman, Scott Weinstein, J�r�me Sim�on",Constraints for Semi-structured Data and XML,2001,SIGMOD Record,journals/sigmod/BunemanFSW01
1397,Rafael Alonso,Trade Press News,1995,SIGMOD Record,journals/sigmod/Alonso95a
1398,"P. Bruce Berra, Bhavani M. Thuraisingham, Kingsley C. Nwosu",ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems,1995,SIGMOD Record,journals/sigmod/BerraNT95
1399,Karl Aberer,Book review column,2003,SIGMOD Record,journals/sigmod/Aberer03b
1400,"Amol Deshpande, Rajeev Rastogi, Minos N. Garofalakis",Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data,2001,SIGMOD Conference,conf/sigmod/DeshpandeGR01
1401,"Martin L. Kersten, Ralph Busse, Florian Waas, Michael J. Carey, Albrecht Schmidt, Ioana Manolescu",XMark: A Benchmark for XML Data Management,2002,VLDB,conf/vldb/SchmidtWKCMB02
1402,M. Tamer �zsu,Chair's Message,2003,SIGMOD Record,journals/sigmod/Ozsu03
1403,"Fausto Rabitti, Giuseppe Amato, Pavel Zezula, Pasquale Savino",Approximate Similarity Retrieval with M-Trees,1998,VLDB J.,journals/vldb/ZezulaSAR98
1404,"Raymond T. Ng, Edwin M. Knorr",Finding Intensional Knowledge of Distance-Based Outliers,1999,VLDB,conf/vldb/KnorrN99
