venue,title,year,authors,entityUrl
SIGMOD Conference,On Schema Matching with Opaque Column Names and Data Values,2003,"Jaewoo Kang, Jeffrey F. Naughton",conf/sigmod/KangN03
SIGMOD Conference,Lots o' Ticks: Real-Time High Performance Time Series Queries on Billions of Trades and Quotes,2001,"Arthur T. Whitney, Dennis Shasha",conf/sigmod/WhitneyS01
SIGMOD Record,An Anonymous Electronic Commerce Scheme with an Off-Line Authority and Untrusted Agents,1998,"Josep Domingo-Ferrer, Jordi Herrera-Joancomart�",journals/sigmod/Domingo-FerrerH98
VLDB,The Structured Information Manager: A Database System for SGML Documents,1996,Ron Sacks-Davis,conf/vldb/Sacks-Davis96
SIGMOD Record,The New Middleware,1995,Rich Finkelstein,journals/sigmod/Finkelstein95
VLDB,DISNIC-PLAN: A NICNET Based Distributed Database for Micro-level Planning in India,1996,M. Moni,conf/vldb/Moni96
VLDB J.,Semantic and Schematic Similarities Between Database Objects: A Context-Based Approach,1996,"Vipul Kashyap, Amit P. Sheth",journals/vldb/KashyapS96
VLDB,eBusiness Standards and Architectures,2002,Anil Nori,conf/vldb/Nori02
SIGMOD Record,Metadata in Video Databases,1994,"Ramesh Jain, Arun Hampapur",journals/sigmod/JainH94
VLDB,Issues in Network Management in the Next Millennium,1999,"Michael L. Brodie, Surajit Chaudhuri",conf/vldb/BrodieC99
SIGMOD Conference,"COSIMA - Your Smart, Speaking E-Salesperson",2001,"Werner Kie�ling, Thorsten Ehm, Stefan Holland, Stefan Fischer 0003",conf/sigmod/KiesslingHFE01
VLDB,On Efficiently Implementing SchemaSQL on an SQL Database System,1999,"Fereidoon Sadri, Laks V. S. Lakshmanan, Subbu N. Subramanian",conf/vldb/LakshmananSS99
VLDB J.,The Power of Languages for the Manipulation of Complex Values,1995,"Serge Abiteboul, Catriel Beeri",journals/vldb/AbiteboulB95
SIGMOD Conference,Stream Processing of XPath Queries with Predicates,2003,"Ashish Kumar Gupta, Dan Suciu",conf/sigmod/GuptaS03
VLDB J.,XML-enabled workflow management for e-services across heterogeneous platforms,2001,"Michael Gillmann, German Shegalov, Gerhard Weikum",journals/vldb/ShegalovGW01
VLDB,DB2 Query Parallelism: Staging and Implementation,1995,Yun Wang,conf/vldb/Wang95
SIGMOD Conference,An Overview of the Emerging Third-Generation SQL Standard (Tutorial),1995,"Nelson Mendon�a Mattos, Jim Melton",conf/sigmod/MattosM95
SIGMOD Conference,Online Association Rule Mining,1999,Christian Hidber,conf/sigmod/Hidber99
VLDB,Using Latency-Recency Profiles for Data Delivery on the Web,2002,"Louiqa Raschid, Laura Bright",conf/vldb/BrightR02
VLDB,SMOOTH - A Distributed Multimedia Database System,2001,"Christian Hanin, Roland Tusch, Carmen Riedler, Harald Kosch, Margit Lang, L�szl� B�sz�rm�nyi, Christian Hofbauer, Alexander Bachlechner",conf/vldb/KoschBBHHLRT01
VLDB J.,Clustering Categorical Data: An Approach Based on Dynamical Systems,2000,"David Gibson, Jon M. Kleinberg, Prabhakar Raghavan",journals/vldb/GibsonKR00
VLDB,Data Mining in the Bioinformatics Domain,2000,Shalom Tsur,conf/vldb/Tsur00
SIGMOD Conference,Simultaneous Optimization and Evaluation of Multiple Dimensional Queries,1998,"Amit Shukla, Jeffrey F. Naughton, Yihong Zhao, Prasad Deshpande",conf/sigmod/ZhaoDNS98
SIGMOD Conference,COSS: The Common Object Services Specifications,1994,Bruce E. Martin,conf/sigmod/Martin94
SIGMOD Conference,Application Architecture: 2Tier or 3Tier? What is DBMS's Role? (Panel Abstract),2000,Anil Nori,conf/sigmod/Nori00
ACM Trans. Database Syst.,Emancipating instances from the tyranny of classes in information modeling,2000,"Jeffrey Parsons, Yair Wand",journals/tods/ParsonsW00
VLDB,From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,2003,"Zhimin Chen, Stelios Paparizos, H. V. Jagadish, Laks V. S. Lakshmanan",conf/vldb/ChenJLP03
SIGMOD Conference,An XML-based Wrapper Generator for Web Information Extraction,1999,"David Buttler, Wei Tang, Calton Pu, Wei Han, Ling Liu",conf/sigmod/LiuHBPT99
SIGMOD Conference,PIX: Exact and Approximate Phrase Matching in XML,2003,"Yu Xu, Mary F. Fernandez, Sihem Amer-Yahia, Divesh Srivastava",conf/sigmod/Amer-YahiaFSX03
VLDB,Developing an Indexing Scheme for XML Document Collection using the Oracle8i Extensibility Framework,2001,"Ying Hu, Timothy Chorma, Nipun Agarwal, Seema Sundara, Jagannathan Srinivasan",conf/vldb/SundaraHCAS01
VLDB,Answering XML Queries on Heterogeneous Data Sources,2001,"Ioana Manolescu, Donald Kossmann, Daniela Florescu",conf/vldb/ManolescuFK01
SIGMOD Record,Business Data Management for B2B Electronic Commerce,2002,"Manfred A. Jeusfeld, Mareike Schoop, Christoph Quix",journals/sigmod/QuixSJ02
VLDB,LoPiX: A System for XML Data Integration and Manipulation,2001,Wolfgang May,conf/vldb/May01
ACM Trans. Database Syst.,I/O reference behavior of production database workloads and the TPC benchmarks - an analysis at the logical level,2001,"Windsor W. Hsu, Alan Jay Smith, Honesty C. Young",journals/tods/HsuSY01
VLDB,Weaving Relations for Cache Performance,2001,"Mark D. Hill, Anastassia Ailamaki, David J. DeWitt, Marios Skounakis",conf/vldb/AilamakiDHS01
VLDB,Efficient Algorithms for Processing XPath Queries,2002,"Reinhard Pichler, Georg Gottlob, Christoph Koch",conf/vldb/GottlobKP02
SIGMOD Conference,XSB as an Efficient Deductive Database Engine,1994,"David Scott Warren, Konstantinos F. Sagonas, Terrance Swift",conf/sigmod/SagonasSW94
SIGMOD Record,Agent-Based Semantic Interoperability in InfoSleuth,1999,"Bruce Bargmeyer, Brad Perry, Jerry Fowler, Marian H. Nodine",journals/sigmod/FowlerPNB99
SIGMOD Record,The XML Typechecking Problem,2002,Dan Suciu,journals/sigmod/Suciu02
SIGMOD Conference,Data Integration and Warehousing in Telecom Italia,1999,"Daniele Nardi, Maurizio Lenzerini, Stefano Trisolini",conf/sigmod/TrisoliniLN99
SIGMOD Conference,A compact B-tree,2002,"Ivan T. Bowman, Peter Bumbulis",conf/sigmod/BumbulisB02
SIGMOD Conference,Partitioned Garbage Collection of Large Object Store,1997,"Barbara Liskov, Umesh Maheshwari",conf/sigmod/MaheshwariL97
ACM Trans. Database Syst.,Addendum to Automatic Generation of Production Rules for Integrity Maintenance,1995,"Letizia Tanca, Stefano Paraboschi, Piero Fraternali, Stefano Ceri",journals/tods/CeriFPT95
SIGMOD Record,Information Systems Research at RWTH Aachen,1995,Matthias Jarke,journals/sigmod/Jarke95
SIGMOD Conference,Orthogonal Optimization of Subqueries and Aggregation,2001,"Milind Joshi, C�sar A. Galindo-Legaria",conf/sigmod/Galindo-LegariaJ01
VLDB J.,Lineage tracing for general data warehouse transformations,2003,"Jennifer Widom, Yingwei Cui",journals/vldb/CuiW03
SIGMOD Record,Design and Implementation of RMP - A Virtual Electronic Market Place,1998,"Wolfgang Klas, Susanne Boll, Bernard Battaglin",journals/sigmod/BollKB98
VLDB,Modelling and Querying Video Data,1994,"Rune Hjelsvold, Roger Midtstraum",conf/vldb/HjelsvoldM94
VLDB,The XPS Approach to Loading and Unloading Terabyte Databases,1996,Sanket Atal,conf/vldb/Atal96
VLDB,Dynamic Multi-Resource Load Balancing in Parallel Database Systems,1995,"Robert Marek, Erhard Rahm",conf/vldb/RahmM95
SIGMOD Conference,Update Propagation Protocols For Replicated Databases,1999,"Raghavan Komondoor, Abraham Silberschatz, Yuri Breitbart, S. Seshadri, Rajeev Rastogi",conf/sigmod/BreitbartKRSS99
ACM Trans. Database Syst.,Cost models for overlapping and multiversion structures,2002,"Yufei Tao, Jun Zhang, Dimitris Papadias",journals/tods/TaoPZ02
SIGMOD Record,Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project,2001,"Wenke Lee, Eleazar Eskin, Wei Fan, Salvatore J. Stolfo, Philip K. Chan",journals/sigmod/StolfoLCFE01
SIGMOD Conference,MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources,2000,"Manuel Rodriguez-Martinez, Nick Roussopoulos",conf/sigmod/RodriguezR00
ACM Trans. Database Syst.,ProbView: A Flexible Probabilistic Database System,1997,"Nicola Leone, Robert Ross, Laks V. S. Lakshmanan, V. S. Subrahmanian",journals/tods/LakshmananLRS97
SIGMOD Conference,Proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,2002,"Suresha, Kaushik Dutta, Krithi Ramamritham, Anindya Datta, Helen M. Thomas, Debra E. VanderMeer",conf/sigmod/DattaDTVSR02
VLDB,The Oracle Warehouse,1995,Gary Hallmark,conf/vldb/Hallmark95
SIGMOD Record,Standards for databases on the grid,2003,"Andrew Eisenberg, Jim Melton, Susan Malaika",journals/sigmod/MalaikaEM03
VLDB,Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,2000,"C. Mohan, S. Watts, Ron Barber, Amit Somani, Markos Zaharioudakis",conf/vldb/MohanBWSZ00
ACM Trans. Database Syst.,Index-driven similarity search in metric spaces,2003,"G�sli R. Hjaltason, Hanan Samet",journals/tods/HjaltasonS03
SIGMOD Record,Discovering Internet Marketing Intelligence through Online Analytical Web Usage Mining,1998,"Alex G. B�chner, Maurice D. Mulvenna",journals/sigmod/BuchnerM98
VLDB,Low-Cost Compensation-Based Query Processing,1998,"�ystein Torbj�rnsen, �ystein Gr�vlen, Svein-Olaf Hvasshovd",conf/vldb/GrovlenHT98
SIGMOD Record,Editor's Notes,2003,Ling Liu,journals/sigmod/Liu03a
SIGMOD Conference,Visionary: A Next Generation Visualization System for Databases,2003,Michael Stonebraker,conf/sigmod/Stonebraker03
VLDB,BHUNT: Automatic Discovery of Fuzzy Algebraic Constraints in Relational Data,2003,"Peter J. Haas, Paul Brown",conf/vldb/HaasB03
VLDB,Efficient Search of Multi-Dimensional B-Trees,1995,"Dave Birdsall, Hedieh Yaghmai, Harry Leslie, Rohit Jain",conf/vldb/LeslieJBY95
VLDB,Practical Issues with Commercial Use of Federated Databases,1996,Jim Kleewein,conf/vldb/Kleewein96
SIGMOD Record,Parallelism and its Price: A Case Study of NonStop SQL/MP,1995,"Susanne Englert, Ray Glasstone, Waqar Hasan",journals/sigmod/EnglertGH95
VLDB,In Cyber Space No One can Hear You Scream,1999,Chris Pound,conf/vldb/Pound99
SIGMOD Record,Cache Invalidation Scheme for Mobile Computing Systems with Real-time Data,2000,"Hei-Wing Leung, Joe Chun-Hung Yuen, Edward Chan, Kam-yiu Lam",journals/sigmod/YuenCLL00
VLDB,Semantic Access: Semantic Interface for Querying Databases,2000,"Naphtali Rishe, Rukshan Athauda, Artyom Shaposhnikov, Jun Yuan, Dmitry Vasilevsky, Xiaoling Lu, Xiaobin Ma, Shu-Ching Chen, Alexander Vaschillo",conf/vldb/RisheYACLMVSV00
ACM Trans. Database Syst.,Database Design for Incomplete Relations,1999,"Mark Levene, George Loizou",journals/tods/LeveneL99
SIGMOD Conference,Data streams: fresh current or stagnant backwater? (panel),2002,"Joseph M. Hellerstein, Jennifer Widom",conf/sigmod/HellersteinW02
VLDB,Hippocratic Databases,2002,"Yirong Xu, Jerry Kiernan, Rakesh Agrawal, Ramakrishnan Srikant",conf/vldb/AgrawalKSX02
ACM Trans. Database Syst.,A new approach to developing and implementing eager database replication protocols,2000,"Gustavo Alonso, Bettina Kemme",journals/tods/KemmeA00
VLDB,Intra-Transaction Parallelism in the Mapping of an Object Model to a Relational Multi-Processor System,1996,"Moira C. Norrie, Hans-J�rg Schek, Michael Rys",conf/vldb/RysNS96
VLDB J.,Indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,2001,"Xiaoyang Sean Wang, Changzhou Wang",journals/vldb/WangW01
SIGMOD Record,The Role of B2B Engines in B2B Integration Architectures,2002,Christoph Bussler,journals/sigmod/Bussler02
SIGMOD Record,Management of Data and Services in the Environmental Information System (UIS) of Baden-W�rttemberg,1997,"Wolf-Fritz Riekert, Roland Mayer-F�ll, Gerlinde Wiest",journals/sigmod/RiekertMW97
SIGMOD Conference,Merge Replication in Microsoft's SQL Server 7.0,1999,Brad Hammond,conf/sigmod/Hammond99
SIGMOD Conference,QURSED: querying and reporting semistructured data,2002,"Yannis Papakonstantinou, Michalis Petropoulos, Vasilis Vassalos",conf/sigmod/PapakonstantinouPV02
VLDB,On the Costs of Multilingualism in Database Systems,2003,"A. Kumaran, Jayant R. Haritsa",conf/vldb/KumaranH03
SIGMOD Record,Wrapper Generation for Semi-structured Internet Sources,1997,"Craig A. Knoblock, Naveen Ashish",journals/sigmod/AshishK97
SIGMOD Conference,Time Series Similarity Measures and Time Series Indexing,2001,"Gautam Das, Dimitrios Gunopulos",conf/sigmod/GunopulosD01
SIGMOD Record,Chair's Message,2000,Richard T. Snodgrass,journals/sigmod/Snodgrass00b
SIGMOD Conference,DBMiner: Interactive Mining of Multiple-Level Knowledge in Relational Databases,1996,"Wei Wang, Krzysztof Koperski, Yongjian Fu, Osmar R. Za�ane, Jenny Chiang, Jiawei Han",conf/sigmod/HanFWCZK96
SIGMOD Conference,Answering Complex SQL Queries Using Automatic Summary Tables,2000,"Roberta Cochrane, Hamid Pirahesh, Monica Urata, Markos Zaharioudakis, George Lapis",conf/sigmod/ZaharioudakisCLPU00
VLDB,Efficient Incremental Garbage Collection for Client-Server Object Database Systems,1995,"Laurent Amsaleg, Olivier Gruber, Michael J. Franklin",conf/vldb/AmsalegFG95
SIGMOD Conference,User-oriented smart-cache for the Web: What You Seek is What You Get!,1998,"Arnaud Sahuguet, Raman Chandrasekar, Zo� Lacroix",conf/sigmod/LacroixSC98
VLDB,Maintaining Data Privacy in Association Rule Mining,2002,"Shariq Rizvi, Jayant R. Haritsa",conf/vldb/RizviH02
VLDB,Merging Models Based on Given Correspondences,2003,"Philip A. Bernstein, Rachel Pottinger",conf/vldb/PottingerB03
SIGMOD Record,"Review of Spatial databases with application to GIS by Philippe Rigaux, Michel Scholl, and Agnes Voisard. Morgan Kaufmann 2002",2003,Nancy Wiegand,journals/sigmod/Wiegand03
SIGMOD Conference,An Approximate Search Engine for Structural Databases,2000,"Kaizhong Zhang, Qicheng Ma, Jason Tsong-Li Wang, Xinhuan Zheng, Xiong Wang, Dennis Shasha, Zasha Weinberg, Bruce A. Shapiro",conf/sigmod/WangSSZZW00
VLDB J.,Answering queries using views: A survey,2001,Alon Y. Halevy,journals/vldb/Halevy01
SIGMOD Conference,SEMCOG: An Object-based Image Retrieval System and Its Visual Query Interface,1997,"K. Sel�uk Candan, Wen-Syan Li, Kyoji Hirata, Yoshinori Hara",conf/sigmod/LiCHH97
VLDB,Finding Hierarchical Heavy Hitters in Data Streams,2003,"Graham Cormode, Flip Korn, S. Muthukrishnan, Divesh Srivastava",conf/vldb/CormodeKMS03
VLDB,Tribeca: A Stream Database Manager for Network Traffic Analysis,1996,Mark Sullivan,conf/vldb/Sullivan96
VLDB J.,A Complete Temporal Relational Algebra,1996,"Debabrata Dey, Veda C. Storey, Terence M. Barron",journals/vldb/DeyBS96
SIGMOD Record,Data Modelling versus Ontology Engineering,2002,"Mustafa Jarrar, Peter Spyns, Robert Meersman",journals/sigmod/SpynsMJ02
ACM Trans. Database Syst.,Implementing Deductive Databases by Mixed Integer Programming,1996,"Anil Nerode, Colin Bell, Raymond T. Ng, V. S. Subrahmanian",journals/tods/BellNNS96
VLDB,Evaluation of Main Memory Join Algorithms for Joins with Set Comparison Join Predicates,1997,"Guido Moerkotte, Sven Helmer",conf/vldb/HelmerM97
SIGMOD Conference,On Relational Support for XML Publishing: Beyond Sorting and Tagging,2003,"Raghav Kaushik, Jeffrey F. Naughton, Surajit Chaudhuri",conf/sigmod/ChaudhuriKN03
SIGMOD Conference,Spatial Joins Using Seeded Trees,1994,"Chinya V. Ravishankar, Ming-Ling Lo",conf/sigmod/LoR94
SIGMOD Conference,XBase: making your gigabyte disk queriable,2002,"Jianhua Lv, Yubin Bao, Hongjun Lu, Ge Yu, Guoren Wang, Yaxin Yu",conf/sigmod/LuWYBLY02
VLDB J.,POESIA: An ontological workflow approach for composing Web services in agriculture,2003,"Ling Liu, Eduardo Delgado Assad, Calton Pu, Renato Fileto, Claudia Bauzer Medeiros",journals/vldb/FiletoLPAM03
VLDB,Database Graph Views: A Practical Model to Manage Persistent Graphs,1994,"Alejandro Guti�rrez, Philippe Pucheral, Jean-Marc Th�venin, Hermann Steffen",conf/vldb/GutierrezPST94
VLDB,Accessing a Relational Database through an Object-Oriented Database Interface,1995,"Jack A. Orenstein, D. N. Kamber",conf/vldb/OrensteinK95
SIGMOD Record,Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab,2001,"John A. Miller, Amit P. Sheth, Ismailcem Budak Arpinar, Krys Kochut",journals/sigmod/ShethMKA01
SIGMOD Record,"The sensor spectrum: technology, trends, and requirements",2003,"Samuel Madden, Wei Hong, Joseph M. Hellerstein",journals/sigmod/HellersteinHM03
VLDB,Visual Web Information Extraction with Lixto,2001,"Georg Gottlob, Robert Baumgartner, Sergio Flesca",conf/vldb/BaumgartnerFG01
ACM Trans. Database Syst.,On Completeness of Historical Relational Query Languages,1994,"James Clifford, Albert Croker, Alexander Tuzhilin",journals/tods/CliffordC94
VLDB,The GMAP: A Versatile Tool for Physical Data Independence,1994,"Marvin H. Solomon, Yannis E. Ioannidis, Odysseas G. Tsatalos",conf/vldb/TsatalosSI94
SIGMOD Record,Describing Semistructured Data,2001,Luca Cardelli,journals/sigmod/Cardelli01
SIGMOD Record,"Towards Adaptive Workflow Systems, CSCW-98 Workshop Report",1999,"Mark Klein, Abraham Bernstein, Chrysanthos Dellarocas",journals/sigmod/BernsteinDK99
VLDB J.,On Periodic Resource scheduling for Continuous-Media Databases,1998,"Minos N. Garofalakis, Banu �zden, Abraham Silberschatz",journals/vldb/GarofalakisOS98
SIGMOD Record,Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?,2002,"Terence Critchlow, Matthew Coleman, David Buttler, Wei Han, Daniel Rocco, Li Xiong, Ling Liu, Calton Pu, Renato Fileto",journals/sigmod/ButtlerCCFHLPRX02
VLDB,Locking Protocols for Materialized Aggregate Join Views,2003,"Michael Watzke, Gang Luo, Curt Ellmann, Jeffrey F. Naughton",conf/vldb/LuoNEW03
SIGMOD Conference,CapBasED-AMS: A Capability-based and Event-driven Activity Management System,1996,"Kamalakar Karlapalem, Helen P. Yeung, Patrick C. K. Hung",conf/sigmod/HungYK96
VLDB,Issues in Developing Very Large Data Warehouses,1998,"Vish Jumani, Lyman Do, David Van Rossum, Pamela Drew, Wei Jin",conf/vldb/DoDJJR98
SIGMOD Conference,Efficient Algorithms for Mining Outliers from Large Data Sets,2000,"Kyuseok Shim, Sridhar Ramaswamy, Rajeev Rastogi",conf/sigmod/RamaswamyRS00
SIGMOD Conference,Maintenance of Data Cubes and Summary Tables in a Warehouse,1997,"Inderpal Singh Mumick, Dallan Quass, Barinderpal Singh Mumick",conf/sigmod/MumickQM97
VLDB J.,Historical Queries Along Multiple Lines of Time Evolution,1995,"Vassilis J. Tsotras, Gad M. Landau, Jeanette P. Schmidt",journals/vldb/LandauST95
SIGMOD Record,The Impact of Database Research on Industrial Products (Panel Summary),1994,"David B. Lomet, Daniel Barbar�, Jos� A. Blakeley, Michael Stonebraker, Daniel H. Fishman",journals/sigmod/BarbaraBFLS94
SIGMOD Conference,XQuery: A Query Language for XML,2003,Donald D. Chamberlin,conf/sigmod/Chamberlin03
VLDB,"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response",1995,"Svein-Olaf Hvasshovd, �ystein Torbj�rnsen, Svein Erik Bratsberg, Per Holager",conf/vldb/HvasshovdTBH95
SIGMOD Conference,Efficient Processing of Joins on Set-valued Attributes,2003,Nikos Mamoulis,conf/sigmod/Mamoulis03
SIGMOD Conference,Evaluating Queries with Generalized Path Expressions,1996,"Guido Moerkotte, Sophie Cluet, Vassilis Christophides",conf/sigmod/ChristophidesCM96
SIGMOD Record,Towards an Infrastructure for Temporal Databases: Report of an Invitational ARPA/NSF Workshop,1994,"Ramez Elmasri, Richard T. Snodgrass, Babis Theodoulidis, Inderpal Singh Mumick, Arie Segev, M. Tamer �zsu, Umeshwar Dayal, Niki Pissinou, Barbara Pernici",journals/sigmod/PissinouSEMOPSTD94
SIGMOD Record,P-Grid: a self-organizing structured P2P system,2003,"Zoran Despotovic, Manfred Hauswirth, Karl Aberer, Philippe Cudr�-Mauroux, Magdalena Punceva, Anwitaman Datta, Roman Schmidt",journals/sigmod/AbererCDDHPS03
SIGMOD Record,The Cougar Approach to In-Network Query Processing in Sensor Networks,2002,"Johannes Gehrke, Yong Yao",journals/sigmod/YaoG02
SIGMOD Record,Automata Theory for XML Researchers,2002,Frank Neven,journals/sigmod/Neven02
SIGMOD Record,ACT-NET - The Active Database Management System Manifesto: A Rulebase of ADBMS Features,1996,?,journals/sigmod/ACT-NET96
SIGMOD Record,Issues in data stream management,2003,"Lukasz Golab, M. Tamer �zsu",journals/sigmod/GolabO03
SIGMOD Record,TSQL2 Language Specification,1994,"Wolfgang K�fer, Curtis E. Dyreson, Arie Segev, Krishna G. Kulkarni, Michael D. Soo, Don S. Batory, Ramez Elmasri, Nikos A. Lorentzos, Nick Kline, John F. Roddick, Gad Ariav, James Clifford, Richard T. Snodgrass, Suryanarayana M. Sripada, T. Y. Cliff Leung, Fabio Grandi, Ilsoo Ahn, Christian S. Jensen",journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94
SIGMOD Conference,MDM: a Multiple-Data-Model Tool for the Management of Heterogeneous Database Schemes,1997,"Paolo Atzeni, Riccardo Torlone",conf/sigmod/AtzeniT97
SIGMOD Conference,Spatial Data Management for Computer Aided Design,2001,"Andreas M�ller, Marco P�tke, Thomas Seidl, Hans-Peter Kriegel",conf/sigmod/KriegelMPS01
VLDB,Estimating the Output Cardinality of Partial Preaggregation with a Measure of Clusteredness,2003,"Guido Moerkotte, Thomas Neumann, Sven Helmer",conf/vldb/HelmerNM03
VLDB,Illuminating the Dark Side of Web Services,2003,Michael L. Brodie,conf/vldb/Brodie03
VLDB,Cache Conscious Algorithms for Relational Query Processing,1994,"Jeffrey F. Naughton, Ambuj Shatdal, Chander Kant",conf/vldb/ShatdalKN94
SIGMOD Conference,Proxy-Server Architectures for OLAP,2001,"Panos Kalnis, Dimitris Papadias",conf/sigmod/KalnisP01
ACM Trans. Database Syst.,Logical Design for Temporal Databases with Multiple Granularities,1997,"Alexander Brodsky, Sushil Jajodia, Claudio Bettini, Xiaoyang Sean Wang",journals/tods/WangBBJ97
VLDB,LegoDB: Customizing Relational Storage for XML Documents,2002,"Prasan Roy, Philip Bohannon, Jayant R. Haritsa, J�r�me Sim�on, Maya Ramanath, Juliana Freire",conf/vldb/BohannonFHRRS02
VLDB J.,An XML query engine for network-bound data,2002,"Daniel S. Weld, Alon Y. Halevy, Zachary G. Ives",journals/vldb/IvesHW02
VLDB,V-Trees - A Storage Method for Long Vector Data,1994,"Maur�cio R. Mediano, Marcelo Dreux, Marco A. Casanova",conf/vldb/MedianoCD94
SIGMOD Conference,Application Servers: Born-Again TP Monitors for the Web? (Panel Abstract),2001,C. Mohan,conf/sigmod/Mohan01
VLDB,DBMSs on a Modern Processor: Where Does Time Go?,1999,"David A. Wood, Mark D. Hill, David J. DeWitt, Anastassia Ailamaki",conf/vldb/AilamakiDHW99
VLDB,High-Performance Extensible Indexing,1999,Marcel Kornacker,conf/vldb/Kornacker99
SIGMOD Record,"Message from Editor-in-Chief, ACM Transactions on Database Systems",1999,Won Kim,journals/sigmod/Kim99
SIGMOD Record,Data Management for Earth System Science,1997,"James Frew, Jeff Dozier",journals/sigmod/FrewD97
VLDB,DataGuides: Enabling Query Formulation and Optimization in Semistructured Databases,1997,"Roy Goldman, Jennifer Widom",conf/vldb/GoldmanW97
SIGMOD Conference,Approximate Medians and other Quantiles in One Pass and with Limited Memory,1998,"Bruce G. Lindsay, Gurmeet Singh Manku, Sridhar Rajagopalan",conf/sigmod/RajagopalanML98
VLDB,On-Demand Data Elevation in Hierarchical Multimedia Storage Servers,1997,"Thomas Papadakis, Peter Triantafillou",conf/vldb/TriantafillouP97
VLDB,RP*: A Family of Order Preserving Scalable Distributed Data Structures,1994,"Witold Litwin, Marie-Anne Neimat, Donovan A. Schneider",conf/vldb/LitwinNS94
VLDB J.,Foreword by the VLDB '98 PC Chairmen: Best Papers of VLDB '98,2000,"Oded Shmueli, Jennifer Widom",journals/vldb/WidomS00
SIGMOD Conference,Going public: open-source databases and database research,2002,Philippe Bonnet,conf/sigmod/Bonnet02
SIGMOD Record,Chorochronos: A Research Network for Spatiotemporal Database Systems,1999,"Enrico Nardelli, Timos K. Sellis, Andrew U. Frank, St�phane Grumbach, Hans-J�rg Schek, Manolis Koubarakis, Michel Scholl, Ralf Hartmut G�ting, Barbara Pernici, Christian S. Jensen, Nikos A. Lorentzos, Babis Theodoulidis, Yannis Manolopoulos, Peter Widmayer",journals/sigmod/FrankGGJKLMNPSSSTW99
SIGMOD Conference,QXtract: A Building Block for Efficient Information Extraction from Plain-Text Databases,2003,"Luis Gravano, Eugene Agichtein",conf/sigmod/AgichteinG03
SIGMOD Record,Information Systems Research at George Mason University,1997,"Sushil Jajodia, Amihai Motro, Edgar H. Sibley, Alexander Brodsky, Larry Kerschberg, Xiaoyang Sean Wang, Daniel Barbar�",journals/sigmod/JajodiaBBKMSW97
ACM Trans. Database Syst.,Answering queries with useful bindings,2001,"Edward Y. Chang, Chen Li",journals/tods/LiC01
ACM Trans. Database Syst.,Heraclitus: Elevating Deltas to be First-Class Citizens in a Database Programming Language,1996,"Dean Jacobs, Shahram Ghandeharizadeh, Richard Hull",journals/tods/GhandeharizadehHJ96
VLDB,Using Referential Integrity To Easily Define Consistent Subset Replicas,1996,Brad Hammond,conf/vldb/Hammond96
SIGMOD Conference,SENTINEL: An Object-Oriented DBMS With Event-Based Rules,1997,Sharma Chakravarthy,conf/sigmod/Chakravarthy97
VLDB,PESTO : An Integrated Query/Browser for Object Databases,1996,"Laura M. Haas, Michael J. Carey, Vivekananda Maganty, John H. Williams",conf/vldb/CareyHMW96
SIGMOD Record,Integrating Modelling Systems for Environmental Management Information Systems,1997,"David J. Abel, Dean Kuo, Kerry L. Taylor",journals/sigmod/AbelTK97
VLDB J.,TIMBER: A native XML database,2002,"Andrew Nierman, Cong Yu, Jignesh M. Patel, Adriane Chapman, Nuwee Wiwatwattana, H. V. Jagadish, Yuqing Wu, Laks V. S. Lakshmanan, Divesh Srivastava, Shurug Al-Khalifa, Stelios Paparizos",journals/vldb/JagadishACLNPPSWWY02
SIGMOD Conference,NoDoSE - A Tool for Semi-Automatically Extracting Semi-Structured Data from Text Documents,1998,Brad Adelberg,conf/sigmod/Adelberg98
VLDB,Distinct Sampling for Highly-Accurate Answers to Distinct Values Queries and Event Reports,2001,Phillip B. Gibbons,conf/vldb/Gibbons01
SIGMOD Record,Report on First International Workshop on Real-Time Database Systems,1996,"Sang Hyuk Son, Kwei-Jay Lin, Azer Bestavros",journals/sigmod/BestavrosLS96
SIGMOD Record,Real-Time Index Concurrency Control,1996,"S. Seshadri, Jayant R. Haritsa",journals/sigmod/HaritsaS96
SIGMOD Conference,Efficiently Supporting Ad Hoc Queries in Large Datasets of Time Sequences,1997,"H. V. Jagadish, Christos Faloutsos, Flip Korn",conf/sigmod/KornJF97
VLDB,Extending Practical Pre-Aggregation in On-Line Analytical Processing,1999,"Torben Bach Pedersen, Curtis E. Dyreson, Christian S. Jensen",conf/vldb/PedersenJD99
SIGMOD Record,Call for Book Reviews,2003,Karl Aberer,journals/sigmod/Aberer03
