id,title,starring,entityUrl,writer,editor
13497,Marlene,,Match1651,"Maximilian Schell 
  Meir Dohnal",
13498,Aethiree,Kanika (actress),Match12863,K.S. Ravikumar,
13499,,Toru Nakamura (actor),Match5735,Lee Si-myung,
13500,Chatrapati,Shriya Saran,Match17564,Vijayendra Prasad,
13501,Y tu mamu00E1 tambiu00E9n,Diego Luna,Match6644,Alfonso Cuaru00F3n Orozco,
13502,Mon oncle d'Amu00E9rique,Roger Pierre,Match579,Jean Gruault,
13503,,Rosalind Chao,Match12617,Robert Clouse,
13504,Stepmom,Julie Fiona Roberts,Match16345,,
13505,Head Over Heels,Monica Potter,Match16268,Ron Burch,
13506,,Harihar Jariwala,Match9660,,
13507,,Matthew Boston,Match15129,James T. Flocker,
13508,The Moonshiners,Joe Bordeaux,Match17229,,
13509,Nice Dreams,Timothy Leary,Match14608,Richard Anthony Marin,
13510,The Angry Guest,,Match1791,,
13511,Chaplin,Robert Downey Jr,Match9538,Bryan Forbes,
13512,Snow Day,Christopher Nash Elliott,Match17263,Chris Viscardi,
13513,College Coach,Richard Ewing Powell,Match2552,Niven Busch,
13514,Fida,Kareena Kapoor,Match2030,Sunny Mahajan,
13515,Pulse 2,Noureen DeWulf,D113515,Joel Soisson,
13516,,Eileen Evelyn Greer Garson,Match16717,Louis Bromfield,
13517,"Dentist, The",Kentotis Alvin Foree,Match13895,Charles Finch (director),
13518,The Bone Collector,Luis Guzman,Match17918,Jeremy Iacone,
13519,The Little Ones,Dudley Foster,Match7218,Jim O'Connolly,
13520,Dead Birds,Patrick Raymond Fugit,Match14344,Simon Barrett,
13521,Los u00FAltimos de Filipinas,Manuel Morán,Match3989,Antonio Román,
13522,,Pavel Maikov,Match11869,Aleksei Sidorov,
13523,,Sam De Grasse,Match7968,Corinne Anita Loos,
13524,The Well,Miranda Otto,Match13814,Elizabeth Jolley,
13525,,Margherita Buy,Match8420,Giulia Calenda,
13526,The Overcoat,,Match14935,Nikolai Gogol,
13527,,Prince (artist),Match11960,Becky Johnston,
13528,,Signe Eleonora Cecilia Larsson,Match14122,Ruth Gordon Jones,
13529,,Alice Joyce,Match14797,,
13530,,Hanna Schygulla,Match3304,Jean-Claude Carrière,
13531,,David Stephen Caruso,Match1440,Ben Hecht,
13532,Jury Prize (Cannes Film Festival),Krzysztof Globisz,Match3117,Krzysztof Piesiewicz,
13533,,Alice Jeane Leppert,Match3837,Rudolph Lothar,
13534,Die Hard: With a Vengeance,Arvid Laurence Bryggman,Match16396,Jonathan Hensleigh,
13535,Just for Kicks,Doze,Match3475,Thibaut de Longeville,
13536,,Janet Margolin,D113536,Eleanor Perry,
13537,A Misappropriated Turkey,Charles West (actor),Match6278,Edward Acker,
13538,Singin' in the Rain,Eugene Curran Kelly,Match16748,Betty Comden,
13539,Brink!,Christina Vidal,Match1259,Jeff Schechter,
13540,The Underworld Story,Gale Storm,Match12606,"Craig Rice (story)
Cy Endfield
Henry Blankfort",
13541,Picnic at Hanging Rock,Helen Morse,Match11293,Joan Lindsay,
13542,Melinda and Melinda,Chiwetel Ejiofor,Match7043,Allen Stewart Ku00F6nigsberg,
13543,,Derek Jacobi,Match1827,Moura Budberg,
13544,Benaam,Bhoomika Chawla,D113544,,
13545,Chasing Liberty,Jeremy Piven,Match14852,Derek Guiley,
13546,The Panic in Needle Park,Richard Bright (actor),Match10295,James Mills,
13547,The Awful Truth,Irene Marie Dunn,Match11114,Sidney Buchman,
13548,Eiffel I'm in Love,,Match15196,Rachmania Arunita,
13549,Damage,Juliette Binoche,D113549,Josephine Hart,
13550,Les Choristes,François Berléand,Match13902,Philippe Lopes-Curval,
13551,,Josephine Edwina Jaques,Match12436,Talbot Rothwell,
13552,,,Match11025,Dylan Avery,
13553,Step Up,Channing Matthew Tatum,Match7370,Melissa Rosenberg,
13554,Wives Under Suspicion,Warren William Krech,Match10907,Ladislas Fodor,
13555,,Nick Adams,Match11310,Takeshi Kimura,
13556,Fatty's Tintype Tangle,Roscoe Arbuckle,Match2808,,
13557,The Manster,,Match7870,George Breakston,
13558,A Free Soul,William Clark Gable,Match201,John Meehan (screenwriter),
13559,The Air Up There,Kevin Norwood Bacon,Match9209,Max Apple,
13560,Coraline,John Hodgman,D113560,Henry Selick,
13561,Anchors Aweigh,Eugene Curran Kelly,Match15511,"Natalie Marcin (story)
Isobel Lennart",
13562,,Prakash Raj,D113562,Trivikram Srinivas,
13563,Dog Years,"R. Michael Caincross
Veronica Loomis
John Aguiar
Shawn Smith
Damon Gregory",Match13758,Robert Loomis,
13564,,Timothy Bottoms,Match1539,Alvin Sargent,
13565,Blue Streak,Dave Chappelle,Match6629,John Blumenthal,
13566,,Anthony Montgomery,Match7470,William Wells,
13567,Johnny Handsome,Lance Henriksen,Match6514,Ken Friedman,
13568,,Phil Vischer,Match11726,Phil Vischer,
13569,Dr. Dolittle: Tail To The Chief,Greg Ellis (actor),D113569,Kathleen Laccinole,
13570,Transmorphers,Amy Weber,D113570,Leigh Scott,
13571,,Yusuf Khan,Match13786,Sharat Chandra Chattopadhyay,
13572,Le notti bianche,Marcello Vincenzo Domenico Mastroianni,Match7964,Fyodor Dostoyevsky,
13573,BELIEVE,Adam Pendon,D113573,Loki Mulholland,
13574,,"Nathan Lopez
Ping Medina
JR Valentin",Match2304,Michiko Yamamoto,
13575,,Sebastian Telfair,D113575,,
13576,,Fumiko Orikasa,D113576,Aya Matsui,
13577,The Search,Aline Laveen MacMahon,Match6317,Edward Montgomery Clift,
13578,Long Fliv the King,Oliver Hardy,Match2654,H. M. Walker,
13579,,"S.E. Zygmont
Suzanna Smith",Match7123,"Michael Koby
Leland Thomas",
13580,,Leslie Hope,Match9491,Carmen Culver,
13581,,Lon Chaney Jr.,Match1331,Curt Siodmak,
13582,The Tall Guy,Jeffrey Lynn Goldblum,D113582,Richard Curtis,
13583,A Place in the World,José Sacristán,Match4496,Alberto Lecchi,
13584,,Ilyena Vasilievna Mironov,Match6758,William Lipz,
13585,Cleopatra,Warren William Krech,Match12465,Bartlett Cormack,
13586,Rich and Strange,Henry Kendall (actor),Match8163,Val Valentine,
13587,In The Navy,Samuel Horwitz,Match145,Arthur T. Horman,
13588,Inuyasha the Movie: Affections Touching Across Time,Richard Ian Cox,Match10714,Rumiko Takahashi,
13589,,Manisha B. Koirala,D113589,Manish Jha,
13590,The Mad,Maggie Castle,D113590,John Kalangis,
13591,Piu00F1ata,Mark Mitchell (actor),Match6405,Mark Angeli,
13592,Bongwater,Luke Cunningham Wilson,Match2165,"Michael Hornburg (novel)
Nora Maccoby
Eric Weiss",
13593,Fun Bar Karaoke,Ray MacDonald,Match11892,,
13594,,Bjarne Henriksen,Match6744,Morten Dragsted,
13595,,"Amy Earhart
Stephen Stanton",Match3672,Trey Stokes,
13596,,Keith Morris,Match13323,Chris Fuller,
13597,Cafu00E9 Elektric,Marie Magdalene Dietrich,Match1106,Felix Fischer,
13598,Murder Ahoy,Lionel Jeffries,Match4453,Agatha Christie,
13599,,Utpal Dutt,Match13370,,
13600,To Rent Furnished,Bessie Banks,Match620,,
13601,,Carla Prestes,D113601,Erasto Filho,
13602,,Sripriya,Match11590,,
13603,The Nutty Professor,Del Moore,Match12034,Bill Richmond (writer),
13604,Stella,Maria Amalia Mercouri,Match10898,"Iakovos Kabanellis
Michael Cacoyannis",
13605,,,Match13995,Shigenori Takechi,
13606,,Matthias Schweighöfer,D113606,Nikolai Müllerschön,
13607,La Loba,Kitty de Hoyos,Match8455,Ramón Obón,
13608,End of the Spear,Jack Guzman,Match11458,Bill Ewing,
13609,,William Henry Pratt,Match296,Edgar G. Ulmer,
13610,Absender unbekannt,Henny Porten,Match11074,Kurt Bortfeldt,
13611,Big and Little Wong Tin Bar,u9673u6E2Fu751F (Chan Kong Sang),Match11642,,
13612,"20,000 Leagues Under the Sea","Michael Caine
Patrick Dempsey",Match4715,"Brian Nelson (teleplay)
Jules Verne(novel)",
13613,Kill The Moonlight,Ross Harris,Match7922,Steve Hanft,
13614,Deadly Intentions... Again?,Conchata Ferrell,Match14154,William Wood,
13615,Bratz: The Movie,Anneliese Louise van der Pol,D113615,Susan Estelle Jansen,
13616,,Jill Bennett,Match78,Geoff Brown (novel),
13617,The Lost World,Lewis Shepard Stone,Match11415,Marion Fairfax,
13618,,Jonathan Hernandez,Match6326,Bruce Neibaur,
13619,The Wind in the Willows,Antony Sher,Match4689,Kenneth Grahame,
13620,Major Barbara,Wendy Margaret Hiller,Match3946,Marjorie Deans,
13621,One Night of Love,Grace Moore,Match5708,S.K. Lauren,
13622,A Man Escaped,Maurice Beerblock,Match1989,Robert Bresson,
13623,God of Cookery,Karen Joy Morris,Match1841,Tsang Ken-cheong,
13624,,Rajendra Kumar,Match14939,,
13625,A Song Is Born,Louis Armstrong,Match9631,Samuel Wilder,
13626,Woman Wanted,Michael Moriarty,Match12755,Joanna McClelland Glass,
13627,The Final Sacrifice,"Bruce J. Mitchell
 Christian Malcolm",Match3006,Bruce J. Mitchell,
13628,Dynamite,Charles Bickford,Match2672,Jeanie MacPherson,
13629,,Catherine McClements,Match15841,Glenda Hambly,
13630,Getting Acquainted,Charles Chaplin,Match14415,Charlie Chaplin,
13631,,Phil Vischer,Match6616,Mike Nawrocki,
13632,,Gretchen Young,Match14645,"Harold Lamb
Waldemar Young
Dudley Nichols",
13633,"McDull, the Alumni",,Match7953,,
13634,Nina's Heavenly Delights,Shelley Conn,Match24,Andrea Gibb,
13635,The Archimedes Principle,Blanca Oteyza,Match15509,Belén Gopegui,
13636,Golden Globe Award for Best Foreign Language Film,Tomas von Brömssen,Match4431,Per Berglund,
13637,I Want a Dog,Marnie McPhail,Match11950,,
13638,Stop Making Sense,Talking Heads,Match13240,Jonathan Demme,
13639,Sweet,Julian Barratt,Match6355,James Pilkington (director),
13640,Lost Embrace,Daniel Hendler,Match3194,Marcelo Birmajer,
13641,,Simi Garewal,Match2956,,
13642,,Donald Moffat,Match4500,Carol Sobieski,
13643,Think of Me First as a Person,"Dwight Core (voice)
Dwight Core Jr.",D113643,,
13644,Royal Blood,Oliver Hardy,Match7820,,
13645,The Curse of King Tutu2019s Tomb,Steven Waddington,Match13512,David Titcher,
13646,Titanic Town,Julia Mary Walters,Match8759,Anne Devlin,
13647,Androcles and the Lion,Jean Merilyn Simmons,Match12388,George Bernard Shaw,
13648,Ghost Rider,Brett Cullen,Match14843,Mark Steven Johnson,
13649,Mabel's Dramatic Career,Roscoe Arbuckle,Match12744,,
13650,Double Vision,David Morse,Match621,Chao-Bin Su,
13651,American Ninja 4: The Annihilation,Michael Dudikoff,Match15759,David Geeves,
13652,15 Aou00FAt,Charles Berling,Match6722,Lisa Alessandrin,
13653,Gay Sex in the 70s,Tom Bianchi,Match13429,,
13654,The Duellists,Keith Ian Carradine,Match9521,Joseph Conrad,
13655,Snuff,Enrique Larratelli,Match7961,"Michael Findlay
Roberta Findlay
A. Bochin",
13656,,Keith Ian Carradine,Match6527,Christopher Knopf,
13657,,,D113657,Gunnar Gunnarsson,
13658,Golden Lion,"Kanu Bannerjee
Karuna Bannerjee
Pinaki Sengupta
Smaran Ghosal",D113658,Bibhutibhushan Bandopadhyay,
13659,,Krista Bridges,D113659,"Daryl Cloran
Anita Doron
Mateo Guez",
13660,,Vidya Sinha,Match13978,,
13661,Lonesome Luke Lugs Luggage,Harold Lloyd,Match14604,,
13662,,Ilkka Koivula,Match9129,Aki Olavi Kaurismu00E4ki,
13663,,Nestor Carbonell,Match1511,Moisés Kaufman,
13664,The Butchers,Vic Tayback,Match12799,"Paulmichel Miekhe
Leonard Turner",
13665,Total Denial,,D113665,,
13666,The Fatal Mallet,Charles Chaplin,Match13577,Mack Sennett,
13667,Amour et confusions,Valeria Bruni Tedeschi,Match9022,Patrick Braoudé,
13668,The Kid,u5F35u767Cu5B97 (Cheung Fat Chung),Match15058,,
13669,Nanook of the North,"Allakariallak (Nanook)
Nyla
Cunayou",Match9663,Robert J. Flaherty,
13670,After the Thin Man,William Horatio Powell,Match9604,Dashiell Hammett,
13671,,Nancy Carroll,Match14105,Frank Mandel,
13672,,Patrick Ryan O'Neal,Match16943,William Blake Crump,
13673,,Isabelle Huppert,Match5339,Jean-Luc Godard,
13674,Alex & Emma,Sophie Daniu00E8le Sylvie Maupu,Match11956,Jeremy Leven,
13675,Secret Agent,Robert George Young,Match18193,W. Somerset Maugham,
13676,Golden Globe Award for Best Motion Picture - Musical or Comedy,David Ogden Stiers,Match17389,Linda Woolverton,
13677,,Robert Hepler Lowe,D113677,Wesley Bishop,
13678,When in Rome,Giuseppe Maria Spurrin-Calleja,Match5901,Robert Buckner,
13679,,Shirley MacLean Beaty,Match7926,Gwen Davis,
13680,Puffball,Donald McNichol Sutherland,D113680,Fay Weldon,
13681,,Subbaraju,D113681,Paruchuri Brothers,
13682,Boy s tenyu,Elena Panova,Match19059,Aleksei Sidorov,
13683,Jagte Raho,Raj Kapoor,Match15081,K. A. Abbas,
13684,,Niharbala,Match12860,Sharat Chandra Chattopadhyay,
13685,Deathwatch,Kris Marshall,Match5254,Michael J. Bassett,
13686,The Phantom President,George M. Cohan,Match13427,George F. Worts,
13687,Grumpy Old Men,Kevin    Pollak,Match13971,Mark Steven Johnson,
13688,,Killjoy (musician),Match13752,Killjoy (musician),
13689,The Petrified Forest,Ruth Elizabeth Davis,Match19147,Delmer Daves,
13690,,Frank James Cooper,Match4172,Edith Fitzgerald,
13691,Above the Rim,Duane Martin,D113691,Benny Medina,
13692,Maid in Manhattan,Natasha Jane Richardson,Match12733,John Hughes (film director),
13693,1942: A Love Story,Jackie Shroff,Match16820,Kamna Chandra,
13694,The Palm Beach Story,Lucile Vasconcellos Langhanke,Match4765,Preston Sturges,
13695,Sleuth,Sir Laurence Olivier,Match13030,Anthony Shaffer,
13696,Southern Belles,Anna Kay Faris,Match3275,Brennan Shroff,
13697,Toute une vie,Marthe Keller,Match10338,Pierre Uytterhoeven,
13698,Cry 'Havoc',Marsha Hunt,Match3238,Jane Murfin,
13699,The Garage,Joseph Frank Keaton VI,Match7741,Jean C. Have,
13700,South Pacific,Harry Connick Jr.,Match14086,Joshua Logan,
13701,,Cynthia Jane Williams,Match13268,John Binder,
13702,The Deal,Michael Sheen,D113702,Peter Morgan,
13703,Nude on the Moon,Ira Magee,Match9059,Raymond Phelan,
13704,Cafe Mascot,Geraldine Fitzgerald,Match10977,Gerald Elliott,
13705,Rachel and the Stranger,Gretchen Young,Match13737,Howard Fast,
13706,Maniac,Kerwin Matthews,Match8439,,
13707,Gumapang Ka Sa Lusak,,Match11654,Ricardo Lee,
13708,Nenunnanu,Mukesh Rishi,Match9734,V.N. Aditya,
13709,"East Palace, West Palace",Hu Jun,Match17869,Zhang Yuan,
13710,Aatish,,Match6277,,
13711,Quatermass 2,Waldo Bruce Donlevy,Match14774,Nigel Kneale,
13712,The Sunchaser,Jon Seda,Match16567,,
13713,Dirty Harry,Harry Guardino,Match11986,R.M. Fink,
13714,Romance in Manhattan,Frantiu0161ek Lederer,Match13788,,
13715,Air Bud: Spikes Back,Robert Tinkler,Match9383,Anne Vince,
13716,The Transporter,u6797u7ACBu6167 Lu00EDn Lu00EC-Huu00EC,Match14656,Luc Besson,
13717,Sins of the Father,Tom Sizemore,Match10613,,
13718,Jitterbugs,Lee Patrick,Match11855,Scott Darling,
13719,An American Tail,Dominick DeLuise,Match4365,Tony Geiss,
13720,,Wimpy,Match15753,,
13721,,,D113721,Brian Yuzna,
13722,,Boman Irani,Match8982,"Atul Sabharwal,
Rajnish Thakur,
Abbas Tyrewala",
13723,Taking Lives,Angelina Jolie Voight,Match9167,Michael Pye,
13724,13:de mars 1941,Robert Johansson</br>Robert P. Olsson,Match11330,H. P. Lovecraft,
13725,"Romulus, My Father",Marton Csokas,Match19617,Raimond Gaita,
13726,The Mirror Crack'd,"Roy Harold Scherer, Jr.",Match14152,Barry Sandler,
13727,,Kamal Haasan,D113727,,
13728,Une femme mariu00E9e: Suite de fragments d'un film tournu00E9 en 1964,Macha Méril,Match10815,Jean-Luc Godard,
13729,George Wallace,Mary Megan Winningham,Match19533,Marshall Frady,
13730,Imitation General,Aaron Chwatt,Match19792,William Bowers,
13731,Going to the Mat,Alessandra Toreson,Match7616,"Chris Nolan
Laurie Nolan",
13732,Rome Adventure,Rossano Brazzi,Match10279,Irving Fineman,
13733,Nomad,Ken Tong,Match8512,Joyce Chan,
13734,Birds of a Feather,Harold Lloyd,Match20972,H.M. Walker,
13735,Deep Blue Sea,Stellan Skarsgård,Match18177,Donna Powers,
13736,,Eva Renzi,Match10924,"Len Deighton (novel)
Evan Jones",
13737,Eddie and the Cruisers II: Eddie Lives!,Michael Pare,Match13985,"Charles Zev Cohen
Rick Doehring",
13738,,,Match19411,Sean Branney,
13739,,Sanjay Suri,Match14627,Shashank Dabral,
13740,Unna ja Nuuk,Jenni Banerjee,Match22761,Sami Keski-Vähälä,
13741,,Diego Luna,D113741,,
13742,,Tito Alonso,D113742,Luis Saslavsky,
13743,Two Old Tars,Roscoe Arbuckle,Match13681,,
13744,,Simon Callow,Match15398,Phil Hughes,
13745,Beach Pajamas,Louis John Bartels,Match17769,Roscoe Arbuckle,
13746,Shallow Grave,Kerry Fox,Match13411,John Hodge,
13747,,Rajendra Kumar,Match18685,Rajinder Singh Bedi,
13748,Wild River,Edward Montgomery Clift,Match11493,Paul Osborn,
13749,My Scary Girl,Choi Kang-hee,Match8928,Son Jae-gon,
13750,,Anna Maria Mu00FChe,Match16952,Maria von Heland,
13751,,Gloria Hallward,D113751,Émile Zola,
13752,Wolf,John Joseph Nicholson,Match16375,Wesley Strick,
13753,,Enrique Piu00F1eyro,Match14023,Enrique Piu00F1eyro,
13754,,Kamal Haasan,D113754,,
13755,,Jerry Garcia,Match8867,,
13756,Rose Red,Emily Deschanel,Match21146,Stephen King,
13757,,Jean-Pierre Léaud,Match9148,Jean-Luc Godard,
13758,,John Kennedy,D113758,,
13759,They Looked Alike,C.W. Ritchie,Match15845,E.W. Sargent,
13760,,#Cast,Match15184,,
13761,,Vivian Rich,Match8450,,
13762,,Charles Gerstle Levison,Match12306,Raoul Walsh,
13763,Kabhi Alvida Naa Kehna,Kirron Kher,Match11412,Karan Johar,
13764,,Linnea Barbara Quigley,Match7348,Sergei Hasenecz,
13765,,,Match12197,Paul Golding,
13766,,Robert Tinkler,Match1480,Lisa Lumby-Richards,
13767,,John Saxon,Match12636,William Blake Crump,
13768,National Lampoon's Class Reunion,Steven Nelson Feuerstein,Match12038,John Hughes (film director),
13769,,Saravanan Sivakumar,D113769,,
13770,Citizen,Caryn Elaine Johnson,D113770,,
13771,Hagiga B'Snuker,"Yehuda Barkan
Joseph Shiloach
Ze'ev Revach",Match10192,"Screenplay
Eli Tavor
Story
Uri Dan",
13772,The Sheriff's Dilemma,Henry DeWitt Carey II,Match22826,,
13773,Identity Crisis,Mario Van Peebles,Match14973,Mario Van Peebles,
13774,,Eva Dorrepaal,D113774,,
13775,Enemy of the State,"Thomas Jack Black, Jr.",Match9798,David Marconi,
13776,,Andrea Di Stefano,Match2695,Gianni Romoli,
13777,Annie Laurie,Arnold Kaiser,Match10287,,
13778,u00A1Vampiros en La Habana!,,Match8483,Ernesto Padrón,
13779,,John Agar,Match14387,Ib Melchior,
13780,,Matti Aulos,Match12013,Toivo Kauppinen,
13781,O Homem Que Copiava,Leandra Leal,Match19397,Jorge Furtado,
13782,Life Without Dick,Teri Garr,Match2033,Bix Skahill,
13783,Playing by Heart,Jay Mohr,Match8571,Willard Carroll,
13784,Mujhe Jeene Do,Balraj Dutt,Match22679,<http://www.channel4.com/film/reviews/film.jsp>,
13785,Mother,Rob Morrow,Match21890,Monica Mcgowan Johnson,
13786,South Central,Christian Coleman,Match2729,"Steve Anderson
Donald Bakeer (novel)",
13787,Dead Poets Society,Robert Lawrence Leonard,Match17744,Tom Schulman,
13788,Beavis And Butt-head Do America,Walter Bruce Willis,Match20668,Mike Judge,
13789,Queen Kong,Countess Roza-Marie Leopoldyna Lubienska,Match10701,,
13790,His Kind of Woman,"Vincent Leonard Price, Jr.",Match13928,Frank Fenton,
13791,,Yolonda Ross,Match778,Guinevere Turner,
13792,Prancer,Cloris Leachman,Match912,Greg Taylor,
13793,8u00BD Women,John Ronald Leon,Match21868,Peter Greenaway,
13794,,Sonny Landham,D113794,Jeb Stuart,
13795,,Roland Young,Match10187,I. A. R. Wylie,
13796,,Ajith,D113796,,
13797,,Promod Ganguli,Match10052,Satyajit Ray,
13798,Mail Order Bride,Lois Nettleton,Match16831,Van Cort,
13799,Black Belt Jones,Jim Kelly (martial artist),Match668,Nelson Alexander Ross,
13800,,Rajendra Kumar,Match18366,,
13801,,Bob Burtch,D113801,,
13802,,Amrita Singh,Match1029,Salim Khan,
13803,Winnie the Pooh and Tigger Too!,Sterling Price Holloway Jr.,Match17278,A. A. Milne,
13804,,D'Arcy Henneberry,D113804,David Decoteau,
13805,,Kaoru Yachigusa,Match5074,Takeshi Kimura,
13806,Opal Dream,Christian Byers,Match22636,Phil Traill,
13807,Kaise Kahoon Ke... Pyaar Hai,Dharmendra,D113807,Sameer Arora,
13808,West of the Divide,Marion Robert Morrison,Match19713,"Robert N. Bradbury 
 Oliver Drake",
13809,The Roots of Heaven,Juliette Gréco,Match14695,Romain Gary,
13810,No Man's Land,Branko ?uri?,Match21649,Danis Tanovi?,
13811,Dangerous Parking,Saffron Dominique Burrows,D113811,Peter Howitt,
13812,,,D113812,TBA,
13813,Boiler Room,Nitara Carlynn Long,Match18833,Ben Younger,
13814,"All's Well, Ends Well",Stephen Chow,Match16837,Raymond Wong Bak-Ming,
13815,,A. Michael Baldwin,Match18350,Don Coscarelli Jr.,
13816,What Ever Happened to Baby Jane?,Ruth Elizabeth Davis,Match14933,Henry Farrell,
13817,,"Various actors, actresses, comedians, musicians, politicians, and activists",Match15150,Todd Larkins Williams,
13818,,,D113818,Michael Tucker (director),
13819,Little Criminals,Myles Ferguson,D113819,Dennis Foon,
13820,Plae chow,u0E01u0E23u0E35u0E1Eu0E07u0E28u0E4C u0E40u0E17u0E35u0E22u0E21u0E40u0E28u0E27u0E04  Kripong Tiamswate,D113820,,
13821,,Geraldine Fitzgerald,D113821,Ruth Rendell,
13822,Dementia 13,Patrick Magee (actor),Match14683,Francis Ford Coppola,
13823,,,Match20278,José A. Ferreyra,
13824,,Rikiya Otaka,Match482,,
13825,Aus dem Leben der Marionetten,Heinz Bennent,Match17451,Ingmar Bergman,
13826,The Opposite of Sex,Martin Donovan,Match13606,Don Roos,
13827,Bang Rajan,Winai Kraibutr,Match15550,Patikarn Phejmunee,
13828,,Leslie William Nielsen,Match19208,Eleanor E. Norton,
13829,The Calcium Kid,Michael Pena,Match22508,"Derek Boyle
Alex De Rakoff
Raymond Friel",
13830,An Incompetent Hero,Roscoe Arbuckle,Match40,,
13831,,Michael Pare,D113831,Gregory Lee,
13832,,Ken Ogata,D113832,"Ku014Dji Takada
Seiku014D Shimura
Takayuki Yamada",
13833,,Michel Galabru,Match4320,Jacques Vilfrid,
13834,,Tom Kennedy (American actor),Match17721,"Monte Brice
Keene Thompson",
13835,Dharm,Hrishitaa Bhatt,D113835,Vibha Singh,
13836,,Hugh John Mungo Grant,Match15751,Tony Gilroy,
13837,,Sushmita Sen,D113837,Mudassar Aziz,
13838,,Gary Alan Sinise,D113838,Stephen King,
13839,,Domingo Soler,Match18952,Xavier Villaurrutia,
13840,,Aldo Fabrizi,Match14072,Piero Tellini,
13841,House of Wax,Charles Dennis Buchinsky,Match14753,Charles S. Belden,
13842,,Mahjabeen Bano,Match3121,,
13843,Aadavari Matalaku Ardhalu Verule,Meghna Naidu,D113843,Selvaraghavan,
13844,,Tamanna,D113844,Sekhar Kammula,
13845,,Mike Mazurki,Match12109,Jules Furthman,
13846,,Ralph Ince,Match1283,,
13847,The Lion Has Wings,June Duprez,Match19959,E.V.H. Emmett,
13848,,Tom Wilkinson,Match15748,Jeff Pope,
13849,,Harold Clifford Keel,D113849,"Max Lamb, Steve Fisher, and Harry Sanford",
13850,,,Match12480,Samuil Marshak,
13851,Ride in the Whirlwind,John Joseph Nicholson,Match3315,John Joseph Nicholson,
13852,Harvie Krumpet,John Flaus,Match20250,Adam Elliot,
13853,Palme d'Or,?erif Sezer,Match13958,Y?lmaz Güney,
13854,,Bernard Montgomery,Match13024,J.L. Hodson,
13855,,Kenneth Connor,Match21094,Norman Hudis,
13856,Aera! Aera! Aera!,Anna Matzourani,Match16793,Lazaros Montanaris,
13857,,Kamal Haasan,D113857,,
13858,Be Your Age,Oliver Hardy,Match4890,H. M. Walker,
13859,,Mariel Hadley Hemingway,Match246,Wayne Smith,
13860,,Rajnikanth,D113860,,
13861,The Comic,Richard Wayne Van Dyke,Match19079,Aaron Ruben,
13862,,Leslie Townes Hope,Match22417,Preston Sturges,
13863,De Schippers van de Kameleon,Koen van der Donk,Match18865,Jean Ummels,
13864,,Ian James Corlett,D113864,Jill Gorey,
13865,9/11,,Match19609,"Tom Forman
Greg Kandra",
13866,,Wendell Reid Corey,Match4553,"Niven Busch (novel)
Charles Schnee",
13867,,Rick Macy,Match14036,Gary Cook,
13868,,Wallace Fitzgerald Beery,Match16955,Frank Wead,
13869,,Lawrence Raghavendra,D113869,,
13870,Ju00E4garna,Rolf Lassgård,Match16874,Kjell Sundvall,
13871,Superman II: The Richard Donner Cut,Terence Stamp,D113871,David Newman,
13872,The Simpsons Movie,Albert Lawrence Einstein,Match4853,Matt Selman,
13873,Breakin',Michael Chambers,Match14440,Allen DeBevoise,
13874,Out of Bounds,Jeff Kober,Match5151,Tony Kayden,
13875,,Johnny Mack Brown,Match19301,Sam Taylor (director),
13876,,Helen Chandler,Match2197,Paul Perez,
13877,,"Joseph Fiennes
Alfred Molina
Jonathan Firth
Claire Cox
Peter Ustinov
Bruno Ganz
Uwe Ochsenknecht
Mathieu Carriu00E8re
Benjamin Sadler",Match22064,"Camille Thomasson
Bart Gavigan",
13878,,Alistair Browning,Match1774,Mark Prebble (director),
13879,The Caddy,Dean Martin,Match18482,Edmund Hartmann,
13880,"Zip, the Dodger",Roscoe Arbuckle,Match3650,,
13881,The Midshipman,Ramon Novarro,Match4215,F. McGrew Willis,
13882,Ironheart,Richard Norton,Match21321,Larry Riggins,
13883,"I, Robot",James Oliver Cromwell,Match22572,"I, Robot",
13884,,Thelma Ritter,D113884,Richard Sale,
13885,Stander,Deborah Kara Unger,Match16299,Bima Stagg,
13886,Infernal Affairs II,Ng Chi-Keung (u5433u5FD7u5F37),Match5204,Felix Chong,
13887,The Scout,Albert Lawrence Einstein,Match22137,Albert Lawrence Einstein,
13888,Academy Award for Documentary Feature,,Match21710,,
13889,Kangaroo Jack: G'Day U.S.A.!,Steven Miller,D113889,Andrew Scheinman,
13890,A Scene at the Sea,Claude Maki,Match6463,Takeshi Kitano,
13891,,,D113891,Srdjan Vuletic,
13892,BUtterfield 8,Zvi Mosheh (Hirsh) Skikne,Match3935,John O'Hara,
13893,,Kamal Haasan,D113893,,
13894,A Good Business Deal,Joseph Galbraith,Match19778,,
13895,,Else Heller,Match20698,Hans Szekely,
13896,,Oleg Vasilkov,Match2016,Yuri Polyakov,
13897,,u0E40u0E1Eu0E0Au0E23u0E32 u0E40u0E0Au0E32u0E27u0E23u0E32u0E29u0E0Eu0E23u0E4C,D113897,,
13898,Where the Sky Meets the Land,,Match21690,Frank Mu00FCller,
13899,Professor Bean's Removal,Roscoe Arbuckle,Match5530,,
13900,The Closet,Gu00E9rard Xavier Marcel Depardieu,Match17102,Francis Veber,
13901,,Vincent Lindon,Match20403,Coline Serreau,
13902,Marion Bridge,Stacy Smith,Match20311,Daniel MacIvor,
13903,,Delia Casanova,Match6359,Luis Estrada,
