authors,venue,title,year,entityUrl
"Zhiyuan Chen, Daniel Mahashin, Victor Cheng, Kyle Buza, Tobias Mayr, Hubert Siu, Randolph Chung, Ivan Oprencak, Philippe Bonnet, Takako M. Hickey, Praveen Seshadri, Ryan Kennedy",SIGMOD Conference,The Cornell Jaguar System: Adding Mobility to PREDATOR,1999,conf/sigmod/BonnetBCCCHKMMOSS99
James R. Hamilton,VLDB,Networked Data Management Design Points,1999,conf/vldb/Hamilton99
"David B. Lomet, Betty Salzberg, Linan Jiang, Manuel Barrena Garc�a",VLDB,The BT-tree: A Branched and Temporal Access Method,2000,conf/vldb/JiangSLB00
"Surajit Chaudhuri, Vivek R. Narasayya",SIGMOD Conference,Microsoft Index Tuning Wizard for SQL Server 7.0,1998,conf/sigmod/ChaudhuriN98a
"Yannis E. Ioannidis, Yezdi Lashkari",SIGMOD Conference,Incomplete Path Expressions and their Disambiguation,1994,conf/sigmod/IoannidisL94
"Babak Hamidzadeh, Kamalakar Karlapalem, Qing Li, Chung-Dak Shum, Dik Lun Lee, Frederick H. Lochovsky, Beat W�thrich, Alex Chia-Yee Kean, Pamela Drew",SIGMOD Record,Data and Knowledge Base Research at Hong Kong University of Science and Technology,1995,journals/sigmod/DrewHKKLLLSW95
"Andrew Nierman, H. V. Jagadish",VLDB,ProTDB: Probabilistic Data in XML,2002,conf/vldb/NiermanJ02
"S. Sudarshan, Siddhesh Bhobe, S. Seshadri, Prasan Roy",SIGMOD Conference,Efficient and Extensible Algorithms for Multi Query Optimization,2000,conf/sigmod/RoySSB00
Richard T. Snodgrass,SIGMOD Record,Chair's Message,1998,journals/sigmod/Snodgrass98b
"Yuri Breitbart, Gerhard Weikum, Radek Vingralek",SIGMOD Conference,Distributed File Organization with Scalable Cost/Performance,1994,conf/sigmod/VingralekBW94
"Gerome Miklau, Jayant Madhavan, Igor Tatarinov, Zachary G. Ives, Xin Dong, Yana Kadiyska, Alon Y. Halevy, Nilesh N. Dalvi, Dan Suciu, Peter Mork",SIGMOD Record,The Piazza peer data management project,2003,journals/sigmod/TatarinovIMHSDDKMM03
"Michael Pizzo, Jos� A. Blakeley",SIGMOD Conference,Microsoft Universal Data Access Platform,1998,conf/sigmod/BlakeleyP98
Soumen Chakrabarti,VLDB,Searching and Mining Fine-Grained Semi-Structured Data,2002,conf/vldb/Chakrabarti02
"Z. Meral �zsoyoglu, Philip S. Yu, Nick Roussopoulos, Krithi Ramamritham, Alberto O. Mendelzon, Richard T. Snodgrass, Laura M. Haas, Jennifer Widom, Jan Paredaens",SIGMOD Record,Reminiscences on Influential Papers,1998,journals/sigmod/SnodgrassHMOPRRWY98
"Thomas J. E. Schwarz, Witold Litwin",SIGMOD Conference,LH*RS: A High-Availability Scalable Distributed Data Structure using Reed Solomon Codes,2000,conf/sigmod/LitwinS00
"Peter M. Schwarz, Mary Tork Roth",VLDB,"Don't Scrap It, Wrap It! A Wrapper Architecture for Legacy Data Sources",1997,conf/vldb/RothS97
Dan Suciu,SIGMOD Record,Foreword: Management of Semistructured Data,1997,journals/sigmod/Suciu97
"Jan Chomicki, David Toman, Michael H. B�hlen",ACM Trans. Database Syst.,Querying ATSQL databases with temporal logic,2001,journals/tods/ChomickiTB01
"King-Ip Lin, Christos Faloutsos",SIGMOD Conference,"FastMap: A Fast Algorithm for Indexing, Data-Mining and Visualization of Traditional and Multimedia Datasets",1995,conf/sigmod/FaloutsosL95
Xiaolei Qian,SIGMOD Record,"Shutdown, Budget, and Funding",1996,journals/sigmod/Qian96
"Hamid Pirahesh, T. Y. Cliff Leung, S. Sudarshan, Praveen Seshadri, Divesh Srivastava, Raghu Ramakrishnan, Joseph M. Hellerstein, Peter J. Stuckey",SIGMOD Conference,Cost-Based Optimization for Magic: Algebra and Implementation,1996,conf/sigmod/SeshadriHPLRSSS96
"Gennady Antoshenkov, Mohamed Ziauddin",VLDB J.,Query Processing and Optimization in Oracle Rdb,1996,journals/vldb/AntoshenkovZ96
"Giansalvatore Mecca, Valter Crescenzi, Paolo Merialdo",SIGMOD Conference,RoadRunner: automatic data extraction from data-intensive web sites,2002,conf/sigmod/CrescenziMM02
"Yannis Theodoridis, Alexandros Nanopoulos, Yannis Manolopoulos",VLDB,C2P: Clustering based on Closest Pairs,2001,conf/vldb/ManolopoulosT01
Andrew E. Wade,SIGMOD Record,Object Query Standards,1996,journals/sigmod/Wade96
"M�rcio de Carvalho, Rodolfo F. Resende, Bruno P�ssas, Wagner Meira Jr.",SIGMOD Record,Using Quantitative Information for Efficient Association Rule Generation,2000,journals/sigmod/PossasMCR00
"Dengfeng Gao, Eileen Tien Lin, Jun Rao, Ihab F. Ilyas, Guy M. Lohman",SIGMOD Conference,Estimating Compilation Time of a Query Optimizer,2003,conf/sigmod/IlyasRLGL03
"Lihyuarn L. Chang, Edward Y. Chang, Tim Cheng",SIGMOD Conference,PBIR - Perception-Based Image Retrieval,2001,conf/sigmod/ChangC01
"Iko Pramudiono, Katsumi Takahashi, Masaru Kitsuregawa, Yusuke Ohura",VLDB,Experiments on Query Expansion for Internet Yellow Page Services Using Web Log Mining,2002,conf/vldb/OhuraTPK02
"Sergio Flesca, Robert Baumgartner, Georg Gottlob",VLDB,Supervised Wrapper Generation with Lixto,2001,conf/vldb/BaumgartnerFG01a
"David B. Lomet, Jim Gray, Zarka Cvetanovic, Chris Nyberg, Tom Barclay",SIGMOD Conference,AlphaSort: A RISC Machine Sort,1994,conf/sigmod/NybergBCGL94
Joseph Fong,SIGMOD Record,Mapping Extended Entity Relationship Model to Object Modeling Technique,1995,journals/sigmod/Fong95
M. Tamer �zsu,SIGMOD Conference,Data Management Issues in Electronic Commerce (Panel),1999,conf/sigmod/Ozsu99
"H. V. Jagadish, Shaul Dar, Divesh Srivastava, Alon Y. Levy",VLDB,Answering Queries with Aggregation Using Views,1996,conf/vldb/SrivastavaDJL96
"Cheng Hian Goh, Kian-Lee Tan, Beng Chin Ooi, D. Sim",VLDB,GHOST: Fine Granularity Buffering of Indexes,1999,conf/vldb/GohOST99
Sandeepan Banerjee,VLDB,A Database Platform for Bioinformatics,2000,conf/vldb/Banerjee00
"Kazuyuki Shimazu, Sougata Mukherjea, Yi-Leh Wu, Divyakant Agrawal, Kyoji Hirata, Yukiyoshi Saito, Quoc Vu, Corey Bufi, Wen-Syan Li, Kevin Chen-Chuan Chang, Edward Y. Chang, Reiko Ito, Yoshinori Hara, Yutaka Kimura",SIGMOD Conference,"PowerBookmarks: A System for Personalizable Web Information Organization, Sharing, and Management",1999,conf/sigmod/LiVCAHMWBCHIKSS99
"Donovan A. Schneider, Marie-Anne Neimat, Witold Litwin",ACM Trans. Database Syst.,"LH* - A Scalable, Distributed Data Structure",1996,journals/tods/LitwinN96
"Raymond T. Ng, Jinhai Yang",VLDB,Maximizing Buffer and Disk Utilizations for News On-Demand,1994,conf/vldb/NgY94
"Jeffrey F. Naughton, Kristin Tufte, Chun Zhang, Gang He, David J. DeWitt, Jayavel Shanmugasundaram",VLDB,Relational Databases for Querying XML Documents: Limitations and Opportunities,1999,conf/vldb/ShanmugasundaramGTZDN99
"Divesh Srivastava, Nick Koudas",SIGMOD Conference,Panel: Querying Networked Databases,2003,conf/sigmod/KoudasS03
"Limsoon Wong, Rona Machlin, Leonid Libkin",SIGMOD Conference,"A Query Language for Multidimensional Arrays: Design, Implementation, and Optimization Techniques",1996,conf/sigmod/LibkinMW96
"Clement T. Yu, A. Prasad Sistla, R. Haddad",VLDB,Reasoning About Spatial Relationships in Picture Retrieval Systems,1994,conf/vldb/SistlaYH94
"Tomasz Imielinski, B. R. Badrinath",VLDB,"Wireless Graffiti - Data, Data Everywhere Matters",2002,conf/vldb/ImielinskiB02
"William I. Grosky, Farshad Fotouhi, Ishwar K. Sethi",SIGMOD Record,Using Metadata for the Intelligent Browsing of Structured Media Objects,1994,journals/sigmod/GroskyFS94
"Guido Moerkotte, Sven Helmer",VLDB J.,A performance study of four index structures for set-valued attributes of low cardinality,2003,journals/vldb/HelmerM03
"Christian T. Ramiller, Alice H. Muntz",VLDB,A Requirement-Based Approach to Data Modeling and Re-Engineering,1994,conf/vldb/MuntzR94
Michael J. Franklin,SIGMOD Record,Editor's Notes,1997,journals/sigmod/Franklin97a
"Achim Kraiss, Gerhard Weikum",VLDB,Vertical Data Migration in Large Near-Line Document Archives Based on Markov-Chain Predictions,1997,conf/vldb/KraissW97
"Jaewoo Kang, Jeffrey F. Naughton",SIGMOD Conference,On Schema Matching with Opaque Column Names and Data Values,2003,conf/sigmod/KangN03
"Arthur T. Whitney, Dennis Shasha",SIGMOD Conference,Lots o' Ticks: Real-Time High Performance Time Series Queries on Billions of Trades and Quotes,2001,conf/sigmod/WhitneyS01
"Josep Domingo-Ferrer, Jordi Herrera-Joancomart�",SIGMOD Record,An Anonymous Electronic Commerce Scheme with an Off-Line Authority and Untrusted Agents,1998,journals/sigmod/Domingo-FerrerH98
Ron Sacks-Davis,VLDB,The Structured Information Manager: A Database System for SGML Documents,1996,conf/vldb/Sacks-Davis96
Rich Finkelstein,SIGMOD Record,The New Middleware,1995,journals/sigmod/Finkelstein95
M. Moni,VLDB,DISNIC-PLAN: A NICNET Based Distributed Database for Micro-level Planning in India,1996,conf/vldb/Moni96
"Vipul Kashyap, Amit P. Sheth",VLDB J.,Semantic and Schematic Similarities Between Database Objects: A Context-Based Approach,1996,journals/vldb/KashyapS96
Anil Nori,VLDB,eBusiness Standards and Architectures,2002,conf/vldb/Nori02
"Ramesh Jain, Arun Hampapur",SIGMOD Record,Metadata in Video Databases,1994,journals/sigmod/JainH94
"Michael L. Brodie, Surajit Chaudhuri",VLDB,Issues in Network Management in the Next Millennium,1999,conf/vldb/BrodieC99
"Werner Kie�ling, Thorsten Ehm, Stefan Holland, Stefan Fischer 0003",SIGMOD Conference,"COSIMA - Your Smart, Speaking E-Salesperson",2001,conf/sigmod/KiesslingHFE01
"Fereidoon Sadri, Laks V. S. Lakshmanan, Subbu N. Subramanian",VLDB,On Efficiently Implementing SchemaSQL on an SQL Database System,1999,conf/vldb/LakshmananSS99
"Serge Abiteboul, Catriel Beeri",VLDB J.,The Power of Languages for the Manipulation of Complex Values,1995,journals/vldb/AbiteboulB95
"Ashish Kumar Gupta, Dan Suciu",SIGMOD Conference,Stream Processing of XPath Queries with Predicates,2003,conf/sigmod/GuptaS03
"Michael Gillmann, German Shegalov, Gerhard Weikum",VLDB J.,XML-enabled workflow management for e-services across heterogeneous platforms,2001,journals/vldb/ShegalovGW01
Yun Wang,VLDB,DB2 Query Parallelism: Staging and Implementation,1995,conf/vldb/Wang95
"Nelson Mendon�a Mattos, Jim Melton",SIGMOD Conference,An Overview of the Emerging Third-Generation SQL Standard (Tutorial),1995,conf/sigmod/MattosM95
Christian Hidber,SIGMOD Conference,Online Association Rule Mining,1999,conf/sigmod/Hidber99
"Louiqa Raschid, Laura Bright",VLDB,Using Latency-Recency Profiles for Data Delivery on the Web,2002,conf/vldb/BrightR02
"Christian Hanin, Roland Tusch, Carmen Riedler, Harald Kosch, Margit Lang, L�szl� B�sz�rm�nyi, Christian Hofbauer, Alexander Bachlechner",VLDB,SMOOTH - A Distributed Multimedia Database System,2001,conf/vldb/KoschBBHHLRT01
Shalom Tsur,VLDB,Data Mining in the Bioinformatics Domain,2000,conf/vldb/Tsur00
"Amit Shukla, Jeffrey F. Naughton, Yihong Zhao, Prasad Deshpande",SIGMOD Conference,Simultaneous Optimization and Evaluation of Multiple Dimensional Queries,1998,conf/sigmod/ZhaoDNS98
Bruce E. Martin,SIGMOD Conference,COSS: The Common Object Services Specifications,1994,conf/sigmod/Martin94
Anil Nori,SIGMOD Conference,Application Architecture: 2Tier or 3Tier? What is DBMS's Role? (Panel Abstract),2000,conf/sigmod/Nori00
"Jeffrey Parsons, Yair Wand",ACM Trans. Database Syst.,Emancipating instances from the tyranny of classes in information modeling,2000,journals/tods/ParsonsW00
"Zhimin Chen, Stelios Paparizos, H. V. Jagadish, Laks V. S. Lakshmanan",VLDB,From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,2003,conf/vldb/ChenJLP03
"David Buttler, Wei Tang, Calton Pu, Wei Han, Ling Liu",SIGMOD Conference,An XML-based Wrapper Generator for Web Information Extraction,1999,conf/sigmod/LiuHBPT99
"Yu Xu, Mary F. Fernandez, Sihem Amer-Yahia, Divesh Srivastava",SIGMOD Conference,PIX: Exact and Approximate Phrase Matching in XML,2003,conf/sigmod/Amer-YahiaFSX03
"Ying Hu, Timothy Chorma, Nipun Agarwal, Seema Sundara, Jagannathan Srinivasan",VLDB,Developing an Indexing Scheme for XML Document Collection using the Oracle8i Extensibility Framework,2001,conf/vldb/SundaraHCAS01
"Ioana Manolescu, Donald Kossmann, Daniela Florescu",VLDB,Answering XML Queries on Heterogeneous Data Sources,2001,conf/vldb/ManolescuFK01
"Manfred A. Jeusfeld, Mareike Schoop, Christoph Quix",SIGMOD Record,Business Data Management for B2B Electronic Commerce,2002,journals/sigmod/QuixSJ02
Wolfgang May,VLDB,LoPiX: A System for XML Data Integration and Manipulation,2001,conf/vldb/May01
"Windsor W. Hsu, Alan Jay Smith, Honesty C. Young",ACM Trans. Database Syst.,I/O reference behavior of production database workloads and the TPC benchmarks - an analysis at the logical level,2001,journals/tods/HsuSY01
"Mark D. Hill, Anastassia Ailamaki, David J. DeWitt, Marios Skounakis",VLDB,Weaving Relations for Cache Performance,2001,conf/vldb/AilamakiDHS01
"Reinhard Pichler, Georg Gottlob, Christoph Koch",VLDB,Efficient Algorithms for Processing XPath Queries,2002,conf/vldb/GottlobKP02
"Bruce Bargmeyer, Brad Perry, Jerry Fowler, Marian H. Nodine",SIGMOD Record,Agent-Based Semantic Interoperability in InfoSleuth,1999,journals/sigmod/FowlerPNB99
Dan Suciu,SIGMOD Record,The XML Typechecking Problem,2002,journals/sigmod/Suciu02
"Daniele Nardi, Maurizio Lenzerini, Stefano Trisolini",SIGMOD Conference,Data Integration and Warehousing in Telecom Italia,1999,conf/sigmod/TrisoliniLN99
"Ivan T. Bowman, Peter Bumbulis",SIGMOD Conference,A compact B-tree,2002,conf/sigmod/BumbulisB02
"Barbara Liskov, Umesh Maheshwari",SIGMOD Conference,Partitioned Garbage Collection of Large Object Store,1997,conf/sigmod/MaheshwariL97
Matthias Jarke,SIGMOD Record,Information Systems Research at RWTH Aachen,1995,journals/sigmod/Jarke95
"Milind Joshi, C�sar A. Galindo-Legaria",SIGMOD Conference,Orthogonal Optimization of Subqueries and Aggregation,2001,conf/sigmod/Galindo-LegariaJ01
"Wolfgang Klas, Susanne Boll, Bernard Battaglin",SIGMOD Record,Design and Implementation of RMP - A Virtual Electronic Market Place,1998,journals/sigmod/BollKB98
"Rune Hjelsvold, Roger Midtstraum",VLDB,Modelling and Querying Video Data,1994,conf/vldb/HjelsvoldM94
Sanket Atal,VLDB,The XPS Approach to Loading and Unloading Terabyte Databases,1996,conf/vldb/Atal96
"Robert Marek, Erhard Rahm",VLDB,Dynamic Multi-Resource Load Balancing in Parallel Database Systems,1995,conf/vldb/RahmM95
"Raghavan Komondoor, Abraham Silberschatz, Yuri Breitbart, S. Seshadri, Rajeev Rastogi",SIGMOD Conference,Update Propagation Protocols For Replicated Databases,1999,conf/sigmod/BreitbartKRSS99
"Yufei Tao, Jun Zhang, Dimitris Papadias",ACM Trans. Database Syst.,Cost models for overlapping and multiversion structures,2002,journals/tods/TaoPZ02
"Wenke Lee, Eleazar Eskin, Wei Fan, Salvatore J. Stolfo, Philip K. Chan",SIGMOD Record,Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project,2001,journals/sigmod/StolfoLCFE01
"Manuel Rodriguez-Martinez, Nick Roussopoulos",SIGMOD Conference,MOCHA: A Self-Extensible Database Middleware System for Distributed Data Sources,2000,conf/sigmod/RodriguezR00
"Nicola Leone, Robert Ross, Laks V. S. Lakshmanan, V. S. Subrahmanian",ACM Trans. Database Syst.,ProbView: A Flexible Probabilistic Database System,1997,journals/tods/LakshmananLRS97
"Suresha, Kaushik Dutta, Krithi Ramamritham, Anindya Datta, Helen M. Thomas, Debra E. VanderMeer",SIGMOD Conference,Proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,2002,conf/sigmod/DattaDTVSR02
Gary Hallmark,VLDB,The Oracle Warehouse,1995,conf/vldb/Hallmark95
"Andrew Eisenberg, Jim Melton, Susan Malaika",SIGMOD Record,Standards for databases on the grid,2003,journals/sigmod/MalaikaEM03
"C. Mohan, S. Watts, Ron Barber, Amit Somani, Markos Zaharioudakis",VLDB,Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,2000,conf/vldb/MohanBWSZ00
"G�sli R. Hjaltason, Hanan Samet",ACM Trans. Database Syst.,Index-driven similarity search in metric spaces,2003,journals/tods/HjaltasonS03
"Alex G. B�chner, Maurice D. Mulvenna",SIGMOD Record,Discovering Internet Marketing Intelligence through Online Analytical Web Usage Mining,1998,journals/sigmod/BuchnerM98
"�ystein Torbj�rnsen, �ystein Gr�vlen, Svein-Olaf Hvasshovd",VLDB,Low-Cost Compensation-Based Query Processing,1998,conf/vldb/GrovlenHT98
Ling Liu,SIGMOD Record,Editor's Notes,2003,journals/sigmod/Liu03a
Michael Stonebraker,SIGMOD Conference,Visionary: A Next Generation Visualization System for Databases,2003,conf/sigmod/Stonebraker03
"Peter J. Haas, Paul Brown",VLDB,BHUNT: Automatic Discovery of Fuzzy Algebraic Constraints in Relational Data,2003,conf/vldb/HaasB03
"Dave Birdsall, Hedieh Yaghmai, Harry Leslie, Rohit Jain",VLDB,Efficient Search of Multi-Dimensional B-Trees,1995,conf/vldb/LeslieJBY95
Jim Kleewein,VLDB,Practical Issues with Commercial Use of Federated Databases,1996,conf/vldb/Kleewein96
"Susanne Englert, Ray Glasstone, Waqar Hasan",SIGMOD Record,Parallelism and its Price: A Case Study of NonStop SQL/MP,1995,journals/sigmod/EnglertGH95
Chris Pound,VLDB,In Cyber Space No One can Hear You Scream,1999,conf/vldb/Pound99
"Hei-Wing Leung, Joe Chun-Hung Yuen, Edward Chan, Kam-yiu Lam",SIGMOD Record,Cache Invalidation Scheme for Mobile Computing Systems with Real-time Data,2000,journals/sigmod/YuenCLL00
"Naphtali Rishe, Rukshan Athauda, Artyom Shaposhnikov, Jun Yuan, Dmitry Vasilevsky, Xiaoling Lu, Xiaobin Ma, Shu-Ching Chen, Alexander Vaschillo",VLDB,Semantic Access: Semantic Interface for Querying Databases,2000,conf/vldb/RisheYACLMVSV00
"Mark Levene, George Loizou",ACM Trans. Database Syst.,Database Design for Incomplete Relations,1999,journals/tods/LeveneL99
"Joseph M. Hellerstein, Jennifer Widom",SIGMOD Conference,Data streams: fresh current or stagnant backwater? (panel),2002,conf/sigmod/HellersteinW02
"Yirong Xu, Jerry Kiernan, Rakesh Agrawal, Ramakrishnan Srikant",VLDB,Hippocratic Databases,2002,conf/vldb/AgrawalKSX02
"Gustavo Alonso, Bettina Kemme",ACM Trans. Database Syst.,A new approach to developing and implementing eager database replication protocols,2000,journals/tods/KemmeA00
"Moira C. Norrie, Hans-J�rg Schek, Michael Rys",VLDB,Intra-Transaction Parallelism in the Mapping of an Object Model to a Relational Multi-Processor System,1996,conf/vldb/RysNS96
"Xiaoyang Sean Wang, Changzhou Wang",VLDB J.,Indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,2001,journals/vldb/WangW01
Christoph Bussler,SIGMOD Record,The Role of B2B Engines in B2B Integration Architectures,2002,journals/sigmod/Bussler02
"Wolf-Fritz Riekert, Roland Mayer-F�ll, Gerlinde Wiest",SIGMOD Record,Management of Data and Services in the Environmental Information System (UIS) of Baden-W�rttemberg,1997,journals/sigmod/RiekertMW97
Brad Hammond,SIGMOD Conference,Merge Replication in Microsoft's SQL Server 7.0,1999,conf/sigmod/Hammond99
"Yannis Papakonstantinou, Michalis Petropoulos, Vasilis Vassalos",SIGMOD Conference,QURSED: querying and reporting semistructured data,2002,conf/sigmod/PapakonstantinouPV02
"A. Kumaran, Jayant R. Haritsa",VLDB,On the Costs of Multilingualism in Database Systems,2003,conf/vldb/KumaranH03
"Craig A. Knoblock, Naveen Ashish",SIGMOD Record,Wrapper Generation for Semi-structured Internet Sources,1997,journals/sigmod/AshishK97
"Gautam Das, Dimitrios Gunopulos",SIGMOD Conference,Time Series Similarity Measures and Time Series Indexing,2001,conf/sigmod/GunopulosD01
Richard T. Snodgrass,SIGMOD Record,Chair's Message,2000,journals/sigmod/Snodgrass00b
"Wei Wang, Krzysztof Koperski, Yongjian Fu, Osmar R. Za�ane, Jenny Chiang, Jiawei Han",SIGMOD Conference,DBMiner: Interactive Mining of Multiple-Level Knowledge in Relational Databases,1996,conf/sigmod/HanFWCZK96
"Roberta Cochrane, Hamid Pirahesh, Monica Urata, Markos Zaharioudakis, George Lapis",SIGMOD Conference,Answering Complex SQL Queries Using Automatic Summary Tables,2000,conf/sigmod/ZaharioudakisCLPU00
"Laurent Amsaleg, Olivier Gruber, Michael J. Franklin",VLDB,Efficient Incremental Garbage Collection for Client-Server Object Database Systems,1995,conf/vldb/AmsalegFG95
"Arnaud Sahuguet, Raman Chandrasekar, Zo� Lacroix",SIGMOD Conference,User-oriented smart-cache for the Web: What You Seek is What You Get!,1998,conf/sigmod/LacroixSC98
"Shariq Rizvi, Jayant R. Haritsa",VLDB,Maintaining Data Privacy in Association Rule Mining,2002,conf/vldb/RizviH02
"Philip A. Bernstein, Rachel Pottinger",VLDB,Merging Models Based on Given Correspondences,2003,conf/vldb/PottingerB03
Nancy Wiegand,SIGMOD Record,"Review of Spatial databases with application to GIS by Philippe Rigaux, Michel Scholl, and Agnes Voisard. Morgan Kaufmann 2002",2003,journals/sigmod/Wiegand03
"Kaizhong Zhang, Qicheng Ma, Jason Tsong-Li Wang, Xinhuan Zheng, Xiong Wang, Dennis Shasha, Zasha Weinberg, Bruce A. Shapiro",SIGMOD Conference,An Approximate Search Engine for Structural Databases,2000,conf/sigmod/WangSSZZW00
Alon Y. Halevy,VLDB J.,Answering queries using views: A survey,2001,journals/vldb/Halevy01
"K. Sel�uk Candan, Wen-Syan Li, Kyoji Hirata, Yoshinori Hara",SIGMOD Conference,SEMCOG: An Object-based Image Retrieval System and Its Visual Query Interface,1997,conf/sigmod/LiCHH97
"Graham Cormode, Flip Korn, S. Muthukrishnan, Divesh Srivastava",VLDB,Finding Hierarchical Heavy Hitters in Data Streams,2003,conf/vldb/CormodeKMS03
Mark Sullivan,VLDB,Tribeca: A Stream Database Manager for Network Traffic Analysis,1996,conf/vldb/Sullivan96
"Debabrata Dey, Veda C. Storey, Terence M. Barron",VLDB J.,A Complete Temporal Relational Algebra,1996,journals/vldb/DeyBS96
"Mustafa Jarrar, Peter Spyns, Robert Meersman",SIGMOD Record,Data Modelling versus Ontology Engineering,2002,journals/sigmod/SpynsMJ02
"Anil Nerode, Colin Bell, Raymond T. Ng, V. S. Subrahmanian",ACM Trans. Database Syst.,Implementing Deductive Databases by Mixed Integer Programming,1996,journals/tods/BellNNS96
"Guido Moerkotte, Sven Helmer",VLDB,Evaluation of Main Memory Join Algorithms for Joins with Set Comparison Join Predicates,1997,conf/vldb/HelmerM97
"Raghav Kaushik, Jeffrey F. Naughton, Surajit Chaudhuri",SIGMOD Conference,On Relational Support for XML Publishing: Beyond Sorting and Tagging,2003,conf/sigmod/ChaudhuriKN03
"Chinya V. Ravishankar, Ming-Ling Lo",SIGMOD Conference,Spatial Joins Using Seeded Trees,1994,conf/sigmod/LoR94
"Jianhua Lv, Yubin Bao, Hongjun Lu, Ge Yu, Guoren Wang, Yaxin Yu",SIGMOD Conference,XBase: making your gigabyte disk queriable,2002,conf/sigmod/LuWYBLY02
"Ling Liu, Eduardo Delgado Assad, Calton Pu, Renato Fileto, Claudia Bauzer Medeiros",VLDB J.,POESIA: An ontological workflow approach for composing Web services in agriculture,2003,journals/vldb/FiletoLPAM03
"Alejandro Guti�rrez, Philippe Pucheral, Jean-Marc Th�venin, Hermann Steffen",VLDB,Database Graph Views: A Practical Model to Manage Persistent Graphs,1994,conf/vldb/GutierrezPST94
"Jack A. Orenstein, D. N. Kamber",VLDB,Accessing a Relational Database through an Object-Oriented Database Interface,1995,conf/vldb/OrensteinK95
"John A. Miller, Amit P. Sheth, Ismailcem Budak Arpinar, Krys Kochut",SIGMOD Record,Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab,2001,journals/sigmod/ShethMKA01
"Samuel Madden, Wei Hong, Joseph M. Hellerstein",SIGMOD Record,"The sensor spectrum: technology, trends, and requirements",2003,journals/sigmod/HellersteinHM03
"Georg Gottlob, Robert Baumgartner, Sergio Flesca",VLDB,Visual Web Information Extraction with Lixto,2001,conf/vldb/BaumgartnerFG01
"James Clifford, Albert Croker, Alexander Tuzhilin",ACM Trans. Database Syst.,On Completeness of Historical Relational Query Languages,1994,journals/tods/CliffordC94
Luca Cardelli,SIGMOD Record,Describing Semistructured Data,2001,journals/sigmod/Cardelli01
"Mark Klein, Abraham Bernstein, Chrysanthos Dellarocas",SIGMOD Record,"Towards Adaptive Workflow Systems, CSCW-98 Workshop Report",1999,journals/sigmod/BernsteinDK99
"Minos N. Garofalakis, Banu �zden, Abraham Silberschatz",VLDB J.,On Periodic Resource scheduling for Continuous-Media Databases,1998,journals/vldb/GarofalakisOS98
"Terence Critchlow, Matthew Coleman, David Buttler, Wei Han, Daniel Rocco, Li Xiong, Ling Liu, Calton Pu, Renato Fileto",SIGMOD Record,Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?,2002,journals/sigmod/ButtlerCCFHLPRX02
"Michael Watzke, Gang Luo, Curt Ellmann, Jeffrey F. Naughton",VLDB,Locking Protocols for Materialized Aggregate Join Views,2003,conf/vldb/LuoNEW03
"Kamalakar Karlapalem, Helen P. Yeung, Patrick C. K. Hung",SIGMOD Conference,CapBasED-AMS: A Capability-based and Event-driven Activity Management System,1996,conf/sigmod/HungYK96
"Vish Jumani, Lyman Do, David Van Rossum, Pamela Drew, Wei Jin",VLDB,Issues in Developing Very Large Data Warehouses,1998,conf/vldb/DoDJJR98
"Kyuseok Shim, Sridhar Ramaswamy, Rajeev Rastogi",SIGMOD Conference,Efficient Algorithms for Mining Outliers from Large Data Sets,2000,conf/sigmod/RamaswamyRS00
"Inderpal Singh Mumick, Dallan Quass, Barinderpal Singh Mumick",SIGMOD Conference,Maintenance of Data Cubes and Summary Tables in a Warehouse,1997,conf/sigmod/MumickQM97
"Vassilis J. Tsotras, Gad M. Landau, Jeanette P. Schmidt",VLDB J.,Historical Queries Along Multiple Lines of Time Evolution,1995,journals/vldb/LandauST95
"David B. Lomet, Daniel Barbar�, Jos� A. Blakeley, Michael Stonebraker, Daniel H. Fishman",SIGMOD Record,The Impact of Database Research on Industrial Products (Panel Summary),1994,journals/sigmod/BarbaraBFLS94
Donald D. Chamberlin,SIGMOD Conference,XQuery: A Query Language for XML,2003,conf/sigmod/Chamberlin03
"Svein-Olaf Hvasshovd, �ystein Torbj�rnsen, Svein Erik Bratsberg, Per Holager",VLDB,"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response",1995,conf/vldb/HvasshovdTBH95
Nikos Mamoulis,SIGMOD Conference,Efficient Processing of Joins on Set-valued Attributes,2003,conf/sigmod/Mamoulis03
"Guido Moerkotte, Sophie Cluet, Vassilis Christophides",SIGMOD Conference,Evaluating Queries with Generalized Path Expressions,1996,conf/sigmod/ChristophidesCM96
