title,year,authors,venue
Technology and the Future of Commerce and Finance (Abstract),1998,David Elliot Shaw,Very Large Data Bases
Incremental Maintenance for Materialized Views over Semistructured Data,1998,"Serge Abiteboul, Jason McHugh, Michael Rys, Vasilis Vassalos, Janet L. Wiener",Very Large Data Bases
The Drill Down Benchmark,1998,"Peter A. Boncz, Tim R&#252;hl, Fred Kwakkel",Very Large Data Bases
Reducing the Braking Distance of an SQL Query Engine,1998,"Michael J. Carey, Donald Kossmann",Very Large Data Bases
Issues in Developing Very Large Data Warehouses,1998,"Lyman Do, Pamela Drew, Wei Jin, Vish Jumani, David Van Rossum",Very Large Data Bases
Is Web-site Management a Database Problem?,1998,"Daniela Florescu, Alon Y. Levy, Dan Suciu",Very Large Data Bases
A Database System for Real-Time Event Aggregation in Telecommunication,1998,"Jerry Baulier, Stephen Blott, Henry F. Korth, Abraham Silberschatz",Very Large Data Bases
A Raster Approximation For Processing of Spatial Joins,1998,"Geraldo Zimbrao, Jano Moreira de Souza",Very Large Data Bases
Diag-Join: An Opportunistic Join Algorithm for 1:N Relationships,1998,"Sven Helmer, Till Westmann, Guido Moerkotte",Very Large Data Bases
The Heterogeneity Problem and Middleware Technology: Experiences with and Performance of Database Gateways,1998,"Fernando de Ferreira Rezende, Klaudia Hergula",Very Large Data Bases
Bridging Heterogeneity: Research and Practice of Database Middleware Technology,1998,"Fernando de Ferreira Rezende, G&#252;nter Sauter",Very Large Data Bases
A Quantitative Analysis and Performance Study for Similarity-Search Methods in High-Dimensional Spaces,1998,"Roger Weber, Hans-J&#246;rg Schek, Stephen Blott",Very Large Data Bases
Resource Scheduling for Composite Multimedia Objects,1998,"Minos N. Garofalakis, Yannis E. Ioannidis, Banu &#214;zden",Very Large Data Bases
Secure Buffering in Firm Real-Time Database Systems,1998,"Binto George, Jayant R. Haritsa",Very Large Data Bases
Optimal Histograms with Quality Guarantees,1998,"H. V. Jagadish, Nick Koudas, S. Muthukrishnan, Viswanath Poosala, Kenneth C. Sevcik, Torsten Suel",Very Large Data Bases
On Optimal Node Splitting for R-trees,1998,"Yv&#225;n J. Garc&#237;a, Mario A. Lopez, Scott T. Leutenegger",Very Large Data Bases
Materialized View Selection for Multidimensional Datasets,1998,"Amit Shukla, Prasad Deshpande, Jeffrey F. Naughton",Very Large Data Bases
Algorithms for Mining Association Rules for Binary Segmentations of Huge Categorical Databases,1998,"Yasuhiko Morimoto, Takeshi Fukuda, Hirofumi Matsuzawa, Takeshi Tokuyama, Kunikazu Yoda",Very Large Data Bases
IBM's DB2 Universal Database demonstrations at VLDB'98,1998,"K. Bernhard Schiefer, Jim Kleewein, Karen Brannon, Guy M. Lohman, Gene Fuh",Very Large Data Bases
Checkpointing in Oracle,1998,"Ashok Joshi, William Bridge, Juan Loaiza, Tirthankar Lahiri",Very Large Data Bases
Determining Text Databases to Search in the Internet,1998,"Weiyi Meng, King-Lup Liu, Clement T. Yu, Xiaodong Wang, Yuhsi Chang, Naphtali Rishe",Very Large Data Bases
Safely and Efficiently Updating References During On-line Reorganization,1998,"Chendong Zou, Betty Salzberg",Very Large Data Bases
PUBLIC: A Decision Tree Classifier that Integrates Building and Pruning,1998,"Rajeev Rastogi, Kyuseok Shim",Very Large Data Bases
Buffering and Read-Ahead Strategies for External Mergesort,1998,"Weiye Zhang, Per-&#197;ke Larson",Very Large Data Bases
MindReader: Querying Databases Through Multiple Examples,1998,"Yoshiharu Ishikawa, Ravishankar Subramanya, Christos Faloutsos",Very Large Data Bases
RainForest - A Framework for Fast Decision Tree Construction of Large Datasets,1998,"Johannes Gehrke, Raghu Ramakrishnan, Venkatesh Ganti",Very Large Data Bases
Design and Analysis of Parametric Query Optimization Algorithms,1998,Sumit Ganguly,Very Large Data Bases
Mining Surprising Patterns Using Temporal Description Length,1998,"Soumen Chakrabarti, Sunita Sarawagi, Byron Dom",Very Large Data Bases
Performance Measurements of Tertiary Storage Devices,1998,"Theodore Johnson, Ethan L. Miller",Very Large Data Bases
Using Schema Matching to Simplify Heterogeneous Data Translation,1998,"Tova Milo, Sagit Zohar",Very Large Data Bases
DTL's DataSpot: Database Exploration Using Plain Language,1998,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",Very Large Data Bases
Bulk-Loading Techniques for Object Databases and an Application to Relational Data,1998,"Sihem Amer-Yahia, Sophie Cluet, Claude Delobel",Very Large Data Bases
Low-Cost Compensation-Based Query Processing,1998,"&#216;ystein Gr&#248;vlen, Svein-Olaf Hvasshovd, &#216;ystein Torbj&#248;rnsen",Very Large Data Bases
The National Medical Knowledge Bank,1998,Warren Sterling,Very Large Data Bases
Clustering Categorical Data: An Approach Based on Dynamical Systems,1998,"David Gibson, Jon M. Kleinberg, Prabhakar Raghavan",Very Large Data Bases
Incremental Clustering for Mining in a Data Warehousing Environment,1998,"Martin Ester, Hans-Peter Kriegel, J&#246;rg Sander, Michael Wimmer, Xiaowei Xu",Very Large Data Bases
Selectivity Estimation in Extensible Databases - A Neural Network Approach,1998,"M. Seetha Lakshmi, Shaoyu Zhou",Very Large Data Bases
Massive Stochastic Testing of SQL,1998,Donald R. Slutz,Very Large Data Bases
Improving Adaptable Similarity Query Processing by Using Approximations,1998,"Mihael Ankerst, Bernhard Braunm&#252;ller, Hans-Peter Kriegel, Thomas Seidl",Very Large Data Bases
Querying a Multilevel Database: A Logical Analysis,1996,Fr&#233;d&#233;ric Cuppens,Very Large Data Bases
Selectivity Estimation Without the Attribute Value Independence Assumption,1997,"Viswanath Poosala, Yannis E. Ioannidis",Very Large Data Bases
A Foundation for Multi-dimensional Databases,1997,"Marc Gyssens, Laks V. S. Lakshmanan",Very Large Data Bases
Concurrent Garbage Collection in O2,1997,"Marcin Skubiszewski, Patrick Valduriez",Very Large Data Bases
Recovering Information from Summary Data,1997,"Christos Faloutsos, H. V. Jagadish, Nikolaos Sidiropoulos",Very Large Data Bases
Critical Database Technologies for High Energy Physics,1997,"David M. Malon, Edward N. May",Very Large Data Bases
Integrating Reliable Memory in Databases,1997,"Wee Teck Ng, Peter M. Chen",Very Large Data Bases
Multiple-View Self-Maintenance in Data Warehousing Environments,1997,Nam Huyn,Very Large Data Bases
Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting,1997,"Srinivas Ashwin, Prasan Roy, S. Seshadri, Abraham Silberschatz, S. Sudarshan",Very Large Data Bases
An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server,1997,"Surajit Chaudhuri, Vivek R. Narasayya",Very Large Data Bases
Implementing Abstract Objects with Inheritance in Datalogneg,1997,Hasan M. Jamil,Very Large Data Bases
Optimizing Queries with Universal Quantification in Object-Oriented and Object-Relational Databases,1997,"Jens Clau&#223;en, Alfons Kemper, Guido Moerkotte, Klaus Peithner",Very Large Data Bases
A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,1997,"Khaled Alsabti, Sanjay Ranka, Vineet Singh",Very Large Data Bases
Efficient Construction of Regression Trees with Range and Region Splitting,1997,"Yasuhiko Morimoto, Hiromu Ishii, Shinichi Morishita",Very Large Data Bases
Geo/Environmental and Medical Data Management in the RasDaMan System,1997,"Peter Baumann, Paula Furtado, Roland Ritsch, Norbert Widmann",Very Large Data Bases
Adaptive Data Broadcast in Hybrid Networks,1997,"Konstantinos Stathatos, Nick Roussopoulos, John S. Baras",Very Large Data Bases
Integrating Triggers and Declarative Constraints in SQL Database Sytems,1996,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon&#231;a Mattos",Very Large Data Bases
On the Computation of Multidimensional Aggregates,1996,"Sameet Agarwal, Rakesh Agrawal, Prasad Deshpande, Ashish Gupta, Jeffrey F. Naughton, Raghu Ramakrishnan, Sunita Sarawagi",Very Large Data Bases
A New SQL-like Operator for Mining Association Rules,1996,"Rosa Meo, Giuseppe Psaila, Stefano Ceri",Very Large Data Bases
How System 11 SQL Server Became Fast,1996,T. K. Rengarajan,Very Large Data Bases
The X-tree: An Index Structure for High-Dimensional Data,1996,"Stefan Berchtold, Daniel A. Keim, Hans-Peter Kriegel",Very Large Data Bases
Intra-Transaction Parallelism in the Mapping of an Object Model to a Relational Multi-Processor System,1996,"Michael Rys, Moira C. Norrie, Hans-J&#246;rg Schek",Very Large Data Bases
Querying Multiple Features of Groups in Relational Databases,1996,"Damianos Chatziantoniou, Kenneth A. Ross",Very Large Data Bases
Answering Queries with Aggregation Using Views,1996,"Divesh Srivastava, Shaul Dar, H. V. Jagadish, Alon Y. Levy",Very Large Data Bases
Database Management Systems and the Internet,1996,Susan Malaika,Very Large Data Bases
Query Decomposition and View Maintenance for Query Languages for Unstructured Data,1996,Dan Suciu,Very Large Data Bases
Reordering Query Execution in Tertiary Memory Databases,1996,"Sunita Sarawagi, Michael Stonebraker",Very Large Data Bases
DWMS: Data Warehouse Management System,1996,Narendra Mohan,Very Large Data Bases
The Design and Implementation of a Sequence Database System,1996,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",Very Large Data Bases
PESTO: An Integrated Query/Browser for Object Databases,1996,"Michael J. Carey, Laura M. Haas, Vivekananda Maganty, John H. Williams",Very Large Data Bases
Clustering Techniques for Minimizing External Path Length,1996,"A. A. Diwan, Sanjeeva Rane, S. Seshadri, S. Sudarshan",Very Large Data Bases
The Role of Integrity Constraints in Database Interoperation,1996,"Mark W. W. Vermeer, Peter M. G. Apers",Very Large Data Bases
Scientific Journals: Extinction or Explosion? (Panel),1995,"Raghu Ramakrishnan, Hector Garcia-Molina, Gerhard Rossbach, Abraham Silberschatz, Gio Wiederhold, Jaco Zijlstra",Very Large Data Bases
Information Management for Genome Level Bioinformatics,2001,"Norman W. Paton, Carole A. Goble",Very Large Data Bases
"Physical Data Independence, Constraints, and Optimization with Universal Plans",1999,"Alin Deutsch, Lucian Popa, Val Tannen",Very Large Data Bases
OLAP++: Powerful and Easy-to-Use Federations of OLAP and Object Databases,2000,"Junmin Gu, Torben Bach Pedersen, Arie Shoshani",Very Large Data Bases
NeuroRule: A Connectionist Approach to Data Mining,1995,"Hongjun Lu, Rudy Setiono, Huan Liu",Very Large Data Bases
The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept,1995,Henry F. Korth,Very Large Data Bases
Managing Business Processes via Workflow Technology,2001,Frank Leymann,Very Large Data Bases
Cache Conscious Algorithms for Relational Query Processing,1994,"Ambuj Shatdal, Chander Kant, Jeffrey F. Naughton",Very Large Data Bases
Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,1997,"Minos N. Garofalakis, Banu &#214;zden, Abraham Silberschatz",Very Large Data Bases
STING: A Statistical Information Grid Approach to Spatial Data Mining,1997,"Wei Wang, Jiong Yang, Richard R. Muntz",Very Large Data Bases
Performance of Future Database Systems: Bottlenecks and Bonananzas,1996,Chaitanya K. Baru,Very Large Data Bases
WATCHMAN: A Data Warehouse Intelligent Cache Manager,1996,"Peter Scheuermann, Junho Shim, Radek Vingralek",Very Large Data Bases
Mining Deviants in a Time Series Database,1999,"H. V. Jagadish, Nick Koudas, S. Muthukrishnan",Very Large Data Bases
Hyper-Programming in Java,1999,"Evangelos Zirintsis, Graham N. C. Kirby, Ronald Morrison",Very Large Data Bases
KODA - The Architecture And Interface of a Data Model Independent Kernel,1998,"Gopalan Arun, Ashok Joshi",Very Large Data Bases
Experiences in Federated Databases: From IRO-DB to MIRO-Web,1998,"Peter Fankhauser, Georges Gardarin, M. Lopez, J. Mu&#241;oz, Anthony Tomasic",Very Large Data Bases
Algorithms for Materialized View Design in Data Warehousing Environment,1997,"Jian Yang, Kamalakar Karlapalem, Qing Li",Very Large Data Bases
Data Warehouse Configuration,1997,"Dimitri Theodoratos, Timos K. Sellis",Very Large Data Bases
Efficient User-Adaptable Similarity Search in Large Multimedia Databases,1997,"Thomas Seidl, Hans-Peter Kriegel",Very Large Data Bases
Using Probabilistic Information in Data Integration,1997,"Daniela Florescu, Daphne Koller, Alon Y. Levy",Very Large Data Bases
The Complexity of Transformation-Based Join Enumeration,1997,"Arjan Pellenkoft, C&#233;sar A. Galindo-Legaria, Martin L. Kersten",Very Large Data Bases
GTE SuperPages: Using IR Techniques for Searching Complex Objects,1997,"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",Very Large Data Bases
"Using Taxonomy, Discriminants, and Signatures for Navigating in Text Databases",1997,"Soumen Chakrabarti, Byron Dom, Rakesh Agrawal, Prabhakar Raghavan",Very Large Data Bases
Multidimensional Access Methods: Trees Have Grown Everywhere,1997,"Timos K. Sellis, Nick Roussopoulos, Christos Faloutsos",Very Large Data Bases
"The Network as a Global Database: Challenges of Interoperability, Proactivity, Interactiveness, Legacy",1997,"Peter C. Lockemann, Ulrike K&#246;lsch, Arne Koschel, Ralf Kramer, Ralf Nikolai, Mechtild Wallrath, Hans-Dirk Walter",Very Large Data Bases
Vertical Data Migration in Large Near-Line Document Archives Based on Markov-Chain Predictions,1997,"Achim Kraiss, Gerhard Weikum",Very Large Data Bases
On-Demand Data Elevation in Hierarchical Multimedia Storage Servers,1997,"Peter Triantafillou, Thomas Papadakis",Very Large Data Bases
Describing and Using Query Capabilities of Heterogeneous Sources,1997,"Vasilis Vassalos, Yannis Papakonstantinou",Very Large Data Bases
Fast Incremental Maintenance of Approximate Histograms,1997,"Phillip B. Gibbons, Yossi Matias, Viswanath Poosala",Very Large Data Bases
Facilitating Multimedia Database Exploration through Visual Interfaces and Perpetual Query Reformulations,1997,"Wen-Syan Li, K. Sel&#231;uk Candan, Kyoji Hirata, Yoshinori Hara",Very Large Data Bases
Evaluation of Main Memory Join Algorithms for Joins with Set Comparison Join Predicates,1997,"Sven Helmer, Guido Moerkotte",Very Large Data Bases
Finding Data in the Neighborhood,1997,"Andr&#233; Eickler, Alfons Kemper, Donald Kossmann",Very Large Data Bases
Sampling Large Databases for Association Rules,1996,Hannu Toivonen,Very Large Data Bases
Information Retrieval from an Incomplete Data Cube,1996,Curtis E. Dyreson,Very Large Data Bases
Modeling Skewed Distribution Using Multifractals and the `80-20' Law,1996,"Christos Faloutsos, Yossi Matias, Abraham Silberschatz",Very Large Data Bases
Extracting Large Data Sets using DB2 Parallel Edition,1996,Sriram Padmanabhan,Very Large Data Bases
Effective &; Efficient Document Ranking without using a Large Lexicon,1996,Yasushi Ogawa,Very Large Data Bases
Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,1996,"Viswanath Poosala, Yannis E. Ioannidis",Very Large Data Bases
Disseminating Updates on Broadcast Disks,1996,"Swarup Acharya, Michael J. Franklin, Stanley B. Zdonik",Very Large Data Bases
The Changing Landscape of the Software Industry and its Implications for India,1996,Umang Gupta,Very Large Data Bases
Scalablity and Availability in Oracle7 7.3,1996,Dieter Gawlick,Very Large Data Bases
Optimization of Queries with User-defined Predicates,1996,"Surajit Chaudhuri, Kyuseok Shim",Very Large Data Bases
Semantic Data Caching and Replacement,1996,"Shaul Dar, Michael J. Franklin, Bj&#246;rn &#222;&#243;r J&#243;nsson, Divesh Srivastava, Michael Tan",Very Large Data Bases
Loading the Data Warehouse Across Various Parallel Architectures,1996,Vijay V. Raghavan,Very Large Data Bases
Dynamic Load Balancing in Hierarchical Parallel Database Systems,1996,"Luc Bouganim, Daniela Florescu, Patrick Valduriez",Very Large Data Bases
Further Improvements on Integrity Constraint Checking for Stratifiable Deductive Databases,1996,"Sin Yeung Lee, Tok Wang Ling",Very Large Data Bases
Obtaining Complete Answers from Incomplete Databases,1996,Alon Y. Levy,Very Large Data Bases
Modeling Design Versions,1996,"R. Ramakrishnan, D. Janaki Ram",Very Large Data Bases
Applying Database Technology in the ADSM Mass Storage System,1995,"Luis-Felipe Cabrera, Robert Rees, Wayne Hineman",Very Large Data Bases
Hot Block Clustering for Disk Arrays with Dynamic Striping,1995,"Kazuhiko Mogi, Masaru Kitsuregawa",Very Large Data Bases
Processing Object-Oriented Queries with Invertible Late Bound Functions,1995,"Staffan Flodin, Tore Risch",Very Large Data Bases
Type Classification of Semi-Structured Documents,1995,"Markus Tresch, Neal Palmer, Allen Luniewski",Very Large Data Bases
Mining Generalized Association Rules,1995,"Ramakrishnan Srikant, Rakesh Agrawal",Very Large Data Bases
Metrics for Accessing Heterogeneous Data: Is There Any Hope? (Panel),1995,"Leonard J. Seligman, Nicholas J. Belkin, Erich J. Neuhold, Michael Stonebraker, Gio Wiederhold",Very Large Data Bases
From VLDB to VMLDB (Very MANY Large Data Bases): Dealing with Large-Scale Semantic Heterogenity,1995,Stuart E. Madnick,Very Large Data Bases
High-Concurrency Locking in R-Trees,1995,"Marcel Kornacker, Douglas Banks",Very Large Data Bases
Efficient Search of Multi-Dimensional B-Trees,1995,"Harry Leslie, Rohit Jain, Dave Birdsall, Hedieh Yaghmai",Very Large Data Bases
"The hBP-tree: A Modified hB-tree Supporting Concurrency, Recovery and Node Consolidation",1995,"Georgios Evangelidis, David B. Lomet, Betty Salzberg",Very Large Data Bases
Promises and Realities of Active Database Systems,1995,"Eric Simon, Angelika Kotz Dittrich",Very Large Data Bases
Databases and Workflow Management: What is it All About? (Panel),1995,"Andreas Reuter, Stefano Ceri, Jim Gray, Betty Salzberg, Gerhard Weikum",Very Large Data Bases
Database De-Centralization - A Practical Approach,1995,"Tor Didriksen, C&#233;sar A. Galindo-Legaria, Eirik Dahle",Very Large Data Bases
Retrieval of Composite Multimedia Objects,1995,"Surajit Chaudhuri, Shahram Ghandeharizadeh, Cyrus Shahabi",Very Large Data Bases
Flexible Relations - Operational Support of Variant Relational Structures,1995,"Christian Kalus, Peter Dadam",Very Large Data Bases
Schema and Database Evolution in the O2 Object Database System,1995,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari, Guy Ferran, Jo&#235;lle Madec",Very Large Data Bases
Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,1996,"Christos Faloutsos, Volker Gaede",Very Large Data Bases
Implementation and Analysis of a Parallel Collection Query Language,1996,Dan Suciu,Very Large Data Bases
"Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System",1996,"Georges Gardarin, Fei Sha, Zhao-Hui Tang",Very Large Data Bases
The Structured Information Manager: A Database System for SGML Documents,1996,Ron Sacks-Davis,Very Large Data Bases
Cache Coherency in Oracle Parallel Server,1996,Boris Klots,Very Large Data Bases
Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,1996,"Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang",Very Large Data Bases
Object Fusion in Mediator Systems,1996,"Yannis Papakonstantinou, Serge Abiteboul, Hector Garcia-Molina",Very Large Data Bases
What is the Data Warehousing Problem? (Are Materialized Views the Answer?),1996,"Ashish Gupta, Inderpal Singh Mumick",Very Large Data Bases
Constructing Efficient Decision Trees by Using Optimized Numeric Association Rules,1996,"Takeshi Fukuda, Yasuhiko Morimoto, Shinichi Morishita, Takeshi Tokuyama",Very Large Data Bases
ZOO: A Desktop Experiment Management Environment,1996,"Yannis E. Ioannidis, Miron Livny, S. Gupta, Nagavamsi Ponnekanti",Very Large Data Bases
Fast Nearest Neighbor Search in Medical Image Databases,1996,"Flip Korn, Nikolaos Sidiropoulos, Christos Faloutsos, Eliot Siegel, Zenon Protopapas",Very Large Data Bases
Storage Estimation for Multidimensional Aggregates in the Presence of Hierarchies,1996,"Amit Shukla, Prasad Deshpande, Jeffrey F. Naughton, Karthikeyan Ramasamy",Very Large Data Bases
SPRINT: A Scalable Parallel Classifier for Data Mining,1996,"John C. Shafer, Rakesh Agrawal, Manish Mehta",Very Large Data Bases
Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,1996,Amit P. Sheth,Very Large Data Bases
Tribeca: A Stream Database Manager for Network Traffic Analysis,1996,Mark Sullivan,Very Large Data Bases
SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,1996,"Laks V. S. Lakshmanan, Fereidoon Sadri, Iyer N. Subramanian",Very Large Data Bases
The Query Optimizer in Tandem's new ServerWare SQL Product,1996,Pedro Celis,Very Large Data Bases
"TPC-D: The Challenges, Issues and Results",1996,Ramesh Bhashyam,Very Large Data Bases
Querying Heterogeneous Information Sources Using Source Descriptions,1996,"Alon Y. Levy, Anand Rajaraman, Joann J. Ordille",Very Large Data Bases
Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology,1996,"Amit P. Sheth, Krys Kochut, John A. Miller, Devashish Worah, Souvik Das, Chenye Lin, Devanand Palaniswami, John Lynch, Ivan Shevchenko",Very Large Data Bases
Supporting Procedural Constructs in SQL Compilers,1996,Nelson Mendon&#231;a Mattos,Very Large Data Bases
Filter Trees for Managing Spatial Data over a Range of Size Granularities,1996,"Kenneth C. Sevcik, Nick Koudas",Very Large Data Bases
Of Objects and Databases: A Decade of Turmoil,1996,"Michael J. Carey, David J. DeWitt",Very Large Data Bases
Applying Data Mining Techniques to a Health Insurance Information System,1996,"Marisa S. Viveros, John P. Nearhos, Michael J. Rothman",Very Large Data Bases
Query Processing Techniques for Multiversion Access Methods,1996,"Jochen Van den Bercken, Bernhard Seeger",Very Large Data Bases
Incremental Maintenance of Externally Materialized Views,1996,"Martin Staudt, Matthias Jarke",Very Large Data Bases
MineSet(tm): A System for High-End Data Mining and Visualization,,"""Very Large Data Bases",1996
Efficient Snapshot Differential Algorithms for Data Warehousing,1996,"Wilburt Labio, Hector Garcia-Molina",Very Large Data Bases
EROC: A Toolkit for Building NEATO Query Optimizers,1996,"William J. McKenna, Louis Burger, Chi Hoang, Melissa Truong",Very Large Data Bases
Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,1996,"Elisa Bertino, Claudio Bettini, Elena Ferrari, Pierangela Samarati",Very Large Data Bases
Coalescing in Temporal Databases,1996,"Michael H. B&#246;hlen, Richard Thomas Snodgrass, Michael D. Soo",Very Large Data Bases
Practical Issues with Commercial Use of Federated Databases,1996,Jim Kleewein,Very Large Data Bases
Synchronization and recovery in a client-server storage system,1997,"E. Panagos, A. Biliris",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Heuristic and randomized optimization for the join ordering problem,1997,"Michael Steinbrunn, Guido Moerkotte, Alfons Kemper",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Sing the truth about ad hoc join costs,1997,"Laura M. Haas, Michael J. Carey, Miron Livny, Amit Shukla",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Concurrency and recovery for index trees,1997,"David Lomet, Betty Salzberg",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Query processing over object views of relational data,1997,"Gustav Fahl, Tore Risch",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Erratum-A database model for object dynamics,1997,"M. P. Papazoglou, B. J. Kr&#228;mer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Structured document storage and refined declarative and navigational access mechanisms in HyperStorM,1997,"Klemens B&#246;hm, Karl Aberer, Erich J. Neuhold, Xiaoya Yang",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
EXACT: an extensible approach to active object-oriented databases,1997,"Oscar D&#237;az, Arturo Jaime",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Data placement in shared-nothing parallel database systems,1997,"Manish Mehta, David J. DeWitt",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Analysis of locking behavior in three real database systems,1997,"Vigyan Singhal, Alan Jay Smith",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Graphical interaction with heterogeneous databases,1997,"T. Catarci, G. Santucci, J. Cardiff",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A database model for object dynamics,1997,"M. P. Papazoglou, B. J. Kr&#228;mer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Parametric query optimization,1997,"Yannis E. Ioannidis, Raymond T. Ng, Kyuseok Shim, Timos K. Sellis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
On applying hash filters to improving the execution of multi-join queries,1997,"Ming-Syan Chen, Hui-I Hsiao, Philip S. Yu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The impact of object technology on commercial transaction processing,1997,Edward E. Cobb,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Concurrency control in hierarchical multidatabase systems,1997,"Sharad Mehrotra, Henry F. Korth, Avi Silberschatz",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Introduction,1998,"M. Tamer &#214;zsu, Stavros Christodoulakis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Spatial and temporal content-based access to hypervideo databases,1998,"Haitao Jiang, Ahmed K. Elmagarmid",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Optimal clip ordering for multi-clip queries,1998,"Raymond T. Ng, Paul Shum",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Integrating symbolic images into a multimedia database system using classification and abstraction approaches,1998,"Aya Soffer, Hanan Samet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Approximate similarity retrieval with M-trees,1998,"Pavel Zezula, Pasquale Savino, Giuseppe Amato, Fausto Rabitti",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Delivering presentations from multimedia servers,1998,"Nevzat Hurkan Balkir, Gultekin Ozsoyoglu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
"The hB $^\\Pi$-tree: a multi-attribute index supporting concurrency, recovery and node consolidation",1997,"Georgios Evangelidis, David Lomet, Betty Salzberg",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Dictionary-based order-preserving string compression,1997,Gennady Antoshenkov,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A logical view of structured files,1998,"Serge Abiteboul, Sophie Cluet, Tova Milo",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Fast image retrieval using color-spatial information,1998,"Beng Chin Ooi, Kian-Lee Tan, Tat Seng Chua, Wynne Hsu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Guest Editorial,1998,Matthias Jarke,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Enhanced abstract data types in object-relational databases,1998,Praveen Seshadri,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Integrated document caching and prefetching in storage hierarchies based on Markov-chain predictions,1998,"Achim Kraiss, Gerhard Weikum",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
"Scalable feature selection, classification and signature generation for organizing large text databases into hierarchical topic taxonomies",1998,"Soumen Chakrabarti, Byron Dom, Rakesh Agrawal, Prabhakar Raghavan",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Garbage collection in object-oriented databases using transactional cyclic reference counting,1998,"P. Roy, S. Seshadri, A. Silberschatz, S. Sudarshan, S. Ashwin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Integrating reliable memory in databases,1998,"Wee Teck Ng, Peter M. Chen",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Speeding up construction of PMR quadtree-based spatial indexes,2002,"Gisli R. Hjaltason, Hanan Samet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Spatial indexing of high-dimensional data based on relative approximation,2002,"Yasushi Sakurai, Masatoshi Yoshikawa, Shunsuke Uemura, Haruhiko Kojima",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Query processing techniques for arrays,2002,"Arunprasad P. Marathe, Kenneth Salem",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
An authorization system for digital libraries,2002,"E. Ferrari, N.R. Adam, V. Atluri, E. Bertino, U. Capuozzo",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Designing wrapper components for e-services in integrating heterogeneous systems,2001,"Massimo Mecella, Barbara Pernici",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Guest editorial,2001,"Fabio Casati, Ming-Chien Shan, Dimitrios Georgakopoulos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
