title,starring,entityUrl,writer,editor
The Tessaract,Jonathan Rhys-Meyers,Match4919,Patrick Neate,
Sunset at Chaophraya,Bird McIntyre,Match3567,Thommayanti,
Dick Tracy Meets Gruesome,Ralph Byrd,Match3319,Chester Gould,
Carnies,Chris Staviski,Match4798,"Ron Leming
John B. Nash",
Give a Girl a Break,Mary Frances Reynolds,Match3808,Vera Caspary,
Doll Graveyard,Ken Lyle,Match21015,August White,
Wolf Creek,Kestie Morassi,Match4277,Greg McLean,
Jackass: Number Two,Jason Bryant Acuu00F1a,Match4837,Jeff Tremaine,
,Larry Fine (actor),Match2957,,
,Daniel Cerny,Match21098,David S. Goyer,
The Bells of St. Mary's,Ingrid Bergman,Match22189,Thomas Leo McCarey,
Silence of the North,Gordon Pinsent,Match5992,,
,Chester Morris,Match2205,Charles Francis Coe,
Chisum,Forrest Tucker,Match14622,Andrew J. Fenady,
A Delicate Balance,Kate Daphne Reid,Match10105,Edward Albee,
Le dernier homme,Raymond Hosni,Match4696,Ghassan Salhab,
Enron: The Smartest Guys in the Room,Jeffrey Skilling,D114392,Bethany McLean,
Beloved Infidel,Deborah Jane Kerr-Trimmer,Match9505,Sy Bartlett,
,Hema Malini,Match3998,,
Red Cockroaches,Jeff Pucillo,Match21190,Miguel Coyula,
Above Us the Waves,Lewis Ernest Watts Mills,Match5143,,
Novio a la vista,Josette Arno,Match3518,Edgar Neville,
,Hung Kam-Bo,D114398,Luo Guanzhong,
Indira,Arvind Swamy,Match6322,Suhasini Mani Ratnam,
The Rogue,Billy West (silent film actor),Match5506,Grace Gershon,
,Judy Greer,Match11554,Jake Kasdan,
Rain,Lucille Fay LeSueur,Match6765,John Colton,
,Jeff Wolverton,D114403,Cody Cameron,
,Ana Maru00EDa Casanova,Match11068,Salvador Valverde Calv,
20000 lieues sous les mers,,Match7730,Jules Verne,
The Bad Man,Ronald Reagan,Match5293,"Porter Emerson Browne (play)
Wells Root",
Camelot,Richard Harris (actor),Match3509,The Once and Future King,
Art School Confidential,Sophia Myles,Match15170,Daniel Clowes,
Do You Love Your Wife?,Arthur Stanley Jefferson,Match866,,
Video Vixens,George 'Buck' Flower,Match14242,Joel Gross,
The Gigolos,Susannah Yolande Fletcher,Match14353,Trevor Sather,
Columbia Pictures,,D114412,,
,Semyon Shahayda,Match5683,Alexander Dovzhenko,
Frostbite,Phillip Morris,D114414,Paul Miller (writer),
Rockin' in the Rockies,Mary Beth Hughes,Match7097,"Gail Davenport (Story)
Louise Rousseau (Story)
J. Benton Cheney
John Grey",
,,Match11609,Takao Aoki,
Bughouse Bellhops,Harold Lloyd,Match8789,,
The Secret Garden,Margaret Natalie Smith,Match2286,Frances Hodgson Burnett,
Ta'm e guilass,Afshin Khorshid Bakhtiari,Match655,Abbas Kiarostami,
Hair,Donnie Dacus,Match15868,Gerome Ragni,
Memories,,Match11187,Kon Satoshi,
,Catriona MacColl,Match7770,Riyoko Ikeda,
,Craig Chester,Match10900,Jim Dwyer,
Queen of the Damned,Marguerite C. Moreau,Match9431,Scott Abbott,
College,Ryan James Pinkston,D114425,"Dan Callahan
Adam Ellison",
A Million to Juan,Liz Torres,Match2933,Mark Twain,
El Lobo,José Coronado,Match12288,,
Road to Utopia,Douglass Dumbrille,Match14671,Norman Panama,
Waisa Bhi Hota Hai Part II,Sandhya Mridul,Match12423,Shashanka Ghosh,
,Lillian Diana Gish,Match9733,David Berry,
Elvis: Aloha from Hawaii,Elvis Presley,Match4444,,
All about the Benjamins,Mike Epps,Match7058,Ice Cube,
Normal,Jessica Phyllis Lange,Match1351,Jane Anderson,
,Johan Libéreau,Match10238,Andru00E9 Tu00E9chinu00E9,
The Caveman's Valentine,Samuel Leroy Jackson,Match5232,George Dawes Green,
,Tristram Coffin,Match15439,Johnny Lange,
Drona,Jaya Bhaduri,D114437,Goldie Behl,
,Antonino Giovanni Ribisi,Match1884,Phil Mittleman,
Twins,Arthur Stanley Jefferson,Match11690,Tay Garnett,
All in Good Taste,Harvey Atkin,Match10316,Rick Green,
,Jeremy James Miller,D114441,,
Return of the Master Killer,Gordon Liu,D114442,Ni Kuang,
Girls Just Want to Have Fun,Helen Elizabeth Hunt,Match10807,Amy Spies,
,Jackie Shroff,Match4287,Honey Irani,
Stranger than Fiction,Dustin Lee Hoffman,Match11589,Zach Helm,
Dedication,,D114446,,
You Can't Take It with You,Gladys Georgianna Greene,Match13961,Robert Riskin,
Midnight in the Garden of Good and Evil,Jude Law,Match13524,John Berendt,
,Harikishen Goswami,Match10005,Harikishen Goswami,
The Darwin Awards,Wilmer Valderrama,Match6006,Finn Taylor,
,Allan Jones (actor),Match16561,Oscar Hammerstein II,
Jury Prize (Cannes Film Festival),Issiaka Kane,Match10566,Souleymane Cissé,
,Mike Nawrocki,Match12885,"Tim Hodge,
Robert G. Lee",
,Ayumi Kinoshita,D114454,Mao Aoki,
Hop to It!,Oliver Hardy,Match16951,Ted Burnsten,
Spike Up,Marcus Graham,D114456,Anthony Theo Maras,
,Cüneyt Ark?n,D114457,Remzi Ayd?n Jöntürk,
,"Fred Halsted
Richard Locke",Match16099,,
,Franu00E7oise Sorya Dreyfus,D114459,Andrew Sarris,
,Asia Aria Anna Maria Vittoria Rossa Argento,D114460,Lamberto Bava,
,Aída Alberti,Match1930,Emilio Villalba Welsh,
,"Jack Palance,
Donald Pleasence,
Martin Landau",Match15400,Jack Sholder,
A Noise from the Deep,Roscoe Arbuckle,Match16156,,
Jesse James Rides Again,Edmund Cobb,Match904,Franklin Adreon,
Shehar Aur Sapna,Nana Palsikar,Match1984,Khwaja Ahmad Abbas,
Dek hor,Chintara Sukapatana,Match16373,"Chollada Teaosuwan
Vanridee Pongsittisak
Songyos Sugmakanan",
Lonesome Luke's Honeymoon,Harold Lloyd,Match16011,,
Berlin Babylon,Renzo Piano,Match13897,Hubertus Siegert,
Son of Dracula,Ringo Starr,Match6799,Jennifer Jayne,
Dad,Olympia Dukakis,Match7278,Gary David Goldberg,
,Tommy Dorsey,Match9449,Curtis Kenyon,
,Patrick J. Warburton,Match1801,David Reynolds,
BAFTA Award for Best Film,Michael Caine,Match14419,Willy Russell,
,Sandra Lee (actress),Match11095,David Lewis (screenwriter),
,Ayesha Jhulka,Match16732,Rumi Jaffrey,
Should Married Men Go Home?,Lyle Tayo,Match9977,H.M. Walker,
The Glass House,Lilliane Rudabet Gloria Elsveta Sobieski,Match21445,Wesley Strick,
The Sting,Charles Durning,Match5900,David S. Ward,
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,Kenny Ortega,D114479,,
Serial (film),LeRoy Mason,Match17066,Albert DeMond,
Walk Don't Run,Archibald Alec Leach,Match9763,Robert Russell,
Victor/Victoria,Julia Elizabeth Wells,D114482,"Blake Edwards
Hans Hoemburg
Reinhold Schu00FCnzel (1933 script)",
Nate and Hayes,Grant Tilly,Match15855,John Hughes (film director),
,Charlotte Gainsbourg,D114484,Peter Cameron (writer),
,Glen Matlock,Match2102,Julien Temple,
James and the Giant Peach,David Wheeler,Match8736,Roald Dahl,
,Frederick Reginald Ironside,D114487,David A. Prior,
Ashes of Time,Jacky Cheung,Match19958,Wong Kar-wai,
,Rajnikanth,D114489,,
,,Match20409,Abbas Kiarostami,
Helen of Troy,Jacques Sernas,Match13010,John Twist,
Theatre of Blood,Ian Hendry,D114492,Anthony Greville-Bell,
Shaolin Soccer,Patrick Tse,Match7270,,
,Naseeruddin Shah,Match9835,Nagesh Kukunoor,
Yaps and Yokels,Oliver Hardy,Match11245,Noel M. Smith,
,Nathalie Besançon,Match10697,Laurent Firode,
Forbidden Zone,Jan Stuart Schwartz,Match1630,Matthew Bright,
Alvarez Kelly,Richard Widmark,Match7932,Franklin Coen,
The Days,Liu Xiaodong,Match2341,Wang Xiaoshuai,
,"Thomas James Batuello, Jr.",D114500,Polly Draper,
San seung hoi taan,u5289u798Fu69AE),Match13115,Sandy Shaw,
Straight-Jacket,Veronica Cartwright,Match15902,Richard Day,
,Tia Dashon Mowry,D114503,Daniel Berendsen,
,Richard Mulligan,Match16241,Jonathan Reynolds,
Junior,Arnold Schwarzenegger,Match9509,Kevin Wade,
Joseph: King of Dreams,Benjamin Gu00E9za Affleck,Match11827,Joe Stillman,
Le Voyage de Gulliver u00E0 Lilliput et chez les gu00E9ants,,Match21838,Jonathan Swift,
,Jacques Dufilho,D114508,Jean-François Chauvel,
,Chris Burns (porn star),D114509,,
The Hallelujah Trail,Burton Stephen Lancaster,Match22565,William Gulick,
,,Match21139,Edward Anhalt,
,Karishma Kapoor,Match22238,,
Fists and Fodder,Oliver Hardy,Match1800,Jess Robbins,
Training Day,Thomas Michael Moore,Match11452,David Ayer,
,Evelyn Preer,Match20100,Oscar Micheaux,
,"Sofia Garcu00EDa Lu00F3pez, 
Pedro Su00E1nchez Bernal,
Agustu00EDn Zu00E1rate Centeno, 
Isabel Dolores Hernu00E1ndez, 
Natividad Su00E1nchez Montes, 
Isahu00EDn Octaviano Simu00F3n",Match13823,Juan Carlos Rulfo,
Keith,Margo Harshman,D114517,David Zabel,
Dark Prince: The True Story of Dracula,Jane March Horwood,Match20377,Thomas Baum,
,Danny Mulheron,Match21883,George Port,
Escape from Sobibor,Alan Wolf Arkin,Match5950,Reginald Rose,
Heaven Can Wait,Samile Diane Friesen,Match13122,Henry Warren Beaty,
S.W.A.T.,LL Cool J,Match18655,Jim McClain,
Needful Things,Max Carl Adolf von Sydow,Match11834,W.D. Richter,
Quel maledetto treno blindato,Fred Williamson,D114524,"Sandro Continenza
Sergio Grieco /a.o.",
The Hunchback of Notre Dame,Robert Hirsch,Match13745,Jean Aurenche,
The Band Master,Oliver Hardy,Match22817,,
,Gabriel James Byrne,Match21017,Richard Outten,
Death Rides a Horse,Luigi Pistilli,Match15431,Luciano Vincenzoni,
"Our Friend, Martin",,Match12886,Deborah Pratt,
,Jamshad,D114530,,
,Chittor V. Nagaiah,Match13820,Samudrala Raghavacharya,
,Tara Elders,Match5799,Tomas Ross,
Four Weddings and a Funeral,Hugh John Mungo Grant,Match18592,Richard Curtis,
FM,Verla Eileen Brennen,Match8048,Erza Sacks,
,Emotion Cheung Kam Ching,D114535,,
The Mist,Toby Jones,D114536,Stephen King,
Bring It On: All or Nothing,Francia Almendarez,Match21672,Alyson Fouse,
Fanny and Alexander,Nils Bu00F6rje Ahlstedt,Match13965,Ernst Ingmar Bergman,
,Hiroaki Hirata,D114539,Masahiro Itu014D,
My Gal Sal,Margarita Carmen Cansino,Match6818,,
Kyaa Dil Ne Kahaa,Esha Deol,Match15682,,
Silk,Koji Yakusho,D114542,,
,Isaac Hayes,Match19857,Pam Brady,
The Land That Time Forgot,Keith Barron,Match7029,Edgar Rice Burroughs,
Head of State,Bernard Jeffrey McCullough,Match20471,Chris Rock,
The Painted Veil,George Brendan Nolan,Match11637,W. Somerset Maugham,
War Party,Billy Wirth,D114547,Spencer Eastman,
Hungry Hearts,Oliver Hardy,Match22730,,
,James Hong,Match13237,James R. Silke,
,Randall Matthew Batinkoff,Match20568,Denise DeClue,
,Mallika Kapoor,Match22694,Onkar Nath Mishra,
,Jatin Khanna,D114552,Rumi Jaffery,
,Yusuf Khan,Match6623,,
,Stuart W. Yee,Match14647,Darryl Fong,
,Mila Nimpa,Match11951,Mars Ravelo,
,Herbert Charles Angelo Kuchacevich ze Schluderpacheru,Match13402,Joan Brossa,
Return of the Living Dead: Necropolis,Robert Peter Cohon,Match7840,"William Butler
Aaron Strongoni",
Talkin' Dirty After Dark,Martin Lawrence,Match18884,Topper Carew,
Moonwalker,Michael Jackson,Match21805,Michael Jackson,
Code 46,Jeanne Balibar,Match14191,Frank Cottrell Boyce,
Saving Private Ryan,Matthew Paige Damon,Match7314,Robert Rodat,
,Robert Gonzu00E1lez,Match13251,Jamie Donahue,
Lady Luck,Francis Phillip Wuppermann,Match13770,Herbert Clyde Lewis,
Yidl Mitn Fidl,Leon Liebgold,Match12516,Konrad Tom (novella),
A Kid in King Arthur's Court,Art Malik,Match14026,Michael Part and Robert L. Levy,
Road to Singapore,Judith Barrett,Match17922,Frank Butler,
,Marthe Villalonga,Match21267,Andru00E9 Tu00E9chinu00E9,
Babylon A.D.,Mélanie Thierry,D114568,Éric Besnard,
,Louise Lasser,Match16724,Todd Solondz,
The Seduction,Andrew Stevens,Match14820,David Schmoeller,
The Nasty Girl,Lena Stolze,Match12990,Michael Verhoeven,
Fanfan la Tulipe,Luigina Lollobrigida,Match22642,Christian-Jaque,
,,Match20534,"Story:
Seijun Ninomiya
Screenplay:
Masa Nakamura",
Cast a Giant Shadow,Lutha Adler,D114574,Melville Shavelson,
The Manson Family,Marc Pitman,Match6159,Jim Van Bebber,
Mabel at the Wheel,Chester Cooper Conklin,Match19496,,
,Ameeta,Match22619,S M Abbas,
,Cara Buono,D114578,Grant Cogswell,
Slaughter,Erica Leerhsen,D114579,"Bobby Lee Darby
Nathan Brookes",
,,Match8322,Werner Stipetiu0107,
The Wedding Date,Jack Davenport,Match12556,Dana Fox,
,Kyle Stanger,Match19353,Brian Hohlfeld,
Allari Pidugu,Balakrishna Nandamuri,D114583,Jayant Paranjee,
Leave It to Beaver,Adam Zolotin,Match4055,Joe Connelly (producer),
,Frederick Arthur Round Emney,Match19940,Graham Cutts,
"Two Cars, One Night",Hutini Waikato,Match13252,Taika Waititi,
,Karen Morley,Match22278,Ben Hecht,
Hatchet,Kane Warren Hodder,Match22640,Adam Green,
,Aslam Pervaiz,Match21961,Sheikh Iqbal,
Tokyo Fist,Kôji Tsukamoto,Match6256,Hisashi Saito,
Larger Than Life,William James Murray,Match14229,Pen Densham,
South Pacific,John Kerr (actor),Match11896,Joshua Logan,
,Emil Sitka,Match15772,Clyde Bruckman,
Cachu00E9,Juliette Binoche,Match4393,Michael Haneke,
Executive Decision,John Leguizamo,Match16374,John Thomas (screenwriter),
Friday the 13th Part II,Stuart Charno,Match7332,"Ron Kurz 
 Phil Scuderi (uncredited)",
Forever Young,Mel Gibson,Match13720,J.J. Abrams,
,Sean Justin Penn,Match7957,"Elliott Lewitt (story)
Nicholas Kazan (story and screenplay)",
,"Ljuba Tadic
Olivera Markovic",Match18700,Nikolai Leskov,
The Great Caruso,Ann Marie Blyth,Match12683,"Sonya Levien 
 William Ludwig",
The Satan Bug,George Maharis,Match2438,James Clavell,
,,D114602,Hans Christian Andersen,
,Umie Aida,Match13843,Aziz M. Osman,
The Importance of Being Earnest,Frances O'Connor,Match17129,Julian Alexander Fellowes,
Alley Cats Strike,Kyle Schmid,Match18777,Gregory K. Pincus,
,Rajnikanth,D114606,,
The Crucified Lovers,Kyoko Kagawa,Match22740,Chikamatsu Monzaemon,
Wizard of Oz,Virginia Pearson,Match3850,Larry Semon,
About a Boy,Hugh John Mungo Grant,Match18516,Nick Hornby,
Promised Land,Googy Gress,Match18759,Michael Hoffman,
Two-Lane Blacktop,James Taylor,Match2028,Rudolph Wurlitzer,
Hoop Dreams,William Gates,Match14947,Frederick Marx,
Academy Award for Best Foreign Language Film,,Match21830,Jean-Jacques Annaud,
The Curse of Frankenstein,Christopher Frank Carandini Lee,D114614,Jimmy Sangster,
,Gary Conklin,Match20656,,
,Tobe Sexton,D114616,Christopher Reynolds,
Lightning Bug,Ashley Laurence,Match20836,Robert Hall (makeup artist),
Eddie Murphy Delirious,Eddie Murphy,Match17283,Eddie Murphy,
,Lysette Chodzko,Match19131,Dan Curtis,
Halloweentown II: Kalabar's Revenge,Kimberly J. Brown,Match1215,"Jon Cooksey
Ali Matheson",
,Michele Placido,Match17053,Leonid Bogachuk,
Allan Quatermain and the Lost City of Gold,George Richard Chamberlain,D114622,Lee Reynolds,
,Roderick Andrew Anthony Jude McDowall,Match16754,Nunnally Hunter Johnson,
,Edward Arnold (actor),Match2299,Harry Clork,
Jenny,Alan Alda,Match20683,Diana Gould,
,"Sripriya,Kamal Hassan,Rajnikanth,Saritha",D114626,,
,Ronald Samuel Johnson,D114627,Amber Films,
Bru00FCno: Delicious Journeys Through America for the Purpose of Making Heterosexual Males Visibly Uncomfortable in the Presence of a Gay Foreigner in a Mesh T-Shirt,Sacha Noam Baron Cohen 1987,D114628,Sacha Noam Baron Cohen 1987,
Kisna: The Warrior Poet,Polly Adams,Match18301,Margaret Glover,
,Donna Graff,Match1868,Anthony James Ryan,
Journey Into Fear,Dolores del Rio,Match4024,Eric Ambler,
Cayo,Iván Camilo,Match784,Ineabelle Sanchez,
,Farooq Shaikh,Match828,J.K. Bihari,
"Cousin, cousine",Victor Lanoux,Match17251,Jean-Charles Tacchella,
A Spray of Plum Blossoms,Wang Cilong,Match17158,Huang Yicuo,
,Krishna Bhanji,Match15890,David Rudkin,
Il magistato,François Périer,Match2125,Pasquale Festa Campanile,
The Cowboy and the Lady,Estelle Merle O'Brien Thompson,Match19134,Sonya Levien,
Chairman of the Board,Larry Miller,Match15718,Turi Meyer,
,Vincent Perez,D114640,Hans Gunnarsson,
Madame X,Pauline Frederick,Match4729,Alexandre Bisson,
Wuye Xiongjing,Ruby Lin,Match10702,,
,,Match20832,"Jacques Audiard
 
Ju00E9ru00F4me Boivin",
Crash Dive,"Tyrone Edmund Power, Jr.",Match16320,W.R. Burnett,
White Fang,Ethan Green Hawke,Match1507,Jeanne Rosenberg,
,Essex Hemphill,Match1499,,
The Las Vegas Story,Victor Mature,Match2023,Paul Jarrico,
,"Tyrone Edmund Power, Jr.",Match19219,Darrell Ware,
,Moon Lee,D114649,Szeto Cheuk-hon,
,Hozumi Gouda,Match856,Haruya Yamazaki,
F/X2,Rachel Ticotin,Match9932,Bill Condon,
,Hema Malini,Match11979,Sachin Bhowmick,
Local Color,Trevor Morgan,Match17867,George Gallo,
Piranha,Bradford Dillman,Match22468,John Sayles,
Billboard Dad,Mary-Kate Olsen,D114655,Maria Jacquemetton,
Casper's First Christmas,Julie McWhirter,Match18015,,
,María Elizabeth Vera,Match4505,Carolina Hughes,
Not Much Force,Julian Reed,Match3062,William W. Pratt,
Kickin' It Old Skool,Miguel A. Núñez Jr.,D114659,Dylan Morgan,
,#Cast members,Match12779,Lewis Carroll,
,Benjamin Jeremy Stein,D114661,"Kevin Miller
Walt Ruloff",
Kuaile gongchang,Kuei-mei Yang,D114662,Ekachai Uekrongtham,
,Om Prakash,Match22403,,
Loser,Zak Orth,Match3950,Amy Heckerling,
,Tim Conway,Match5304,Tim Conway,
Xiao Wu,Wang Hongwei,Match3744,Jia Zhangke,
,Dr. Demento,Match9886,n/a,
Zoolander,Benjamin Edward Stiller,Match13857,John Hamburg,
,Shawn Robert Ashmore,Match11617,Thom Fitzgerald,
,Deeba,Match4982,Syed Noor,
Grind,Michael James Vogel,Match19942,Ralph Sall,
Berlin International Film Festival,Irene Vrkijan,Match226,Joel Koenig,
,Christine Boisson,Match20664,Gérard Brach,
Esqualiche,Fernando Fernán Gómez,Match4074,Josefina Molina,
Mr. Jealousy,Annabella Sciorra,Match9257,Noah Baumbach,
Young Winston,Simon Ward,Match5122,Carl Foreman,
Scoop,Hugh Michael Jackman,Match946,Allen Stewart Ku00F6nigsberg,
,Ian Carmichael,Match1607,,
To End All Wars,Ciaran McMenamin,Match21623,Ernest Gordon,
,Jayaram,D114680,S. Ramakrishnan.,
Jom kha mung wej,Akara Amarttayakul,Match18285,Piyapan Choopetch,
Quick Millions,Marguerite Churchill,Match13341,"Rowland Brown
Courtney Perrett",
Jonah: A VeggieTales Movie,Phil Vischer,Match8658,Phil Vischer,
The Stilwell Road,,D114684,,
We Are The Faithful,Michael Koch,Match1461,,
Salween,u0E01u0E23u0E35u0E1Eu0E07u0E28u0E4C u0E40u0E17u0E35u0E22u0E21u0E40u0E28u0E27u0E04  Kripong Tiamswate,Match21569,Chatrichalerm Yukol,
,Paul Kelly (musician),Match21967,John Romeril,
"Ella, u00E9l y sus millones",Juan Calvo,Match19603,,
The Flintstone' 25th Anniversary Celebration,Harvey Herschel Korman,Match1415,,
Click,Ronald Walken,D114690,Alex Roper,
,Rajnikanth,D114691,,
Adrift in Manhattan,Heather Graham,D114692,Nat Moss,
,Tim O'Kelly,Match9506,Polly Platt,
Lost Boys 2: The Tribe,Autumn Alicia Reeser,D114694,Hans Rodinoff,
La Perla,María Elena Marqués,Match7831,John Steinbeck,
,Robin Shou,Match4514,Robin Shou,
,Maxwell Reed,Match18501,William Blake Crump,
The Bluffers,Vivian Rich,Match1134,,
,Kelli Brianne Garner,Match3872,Eric Tuchman,
,Tricia Vessey,Match9447,"John Carney
Daniel James",
The Curse of the Jade Scorpion,Charlize Theron,Match3094,Allen Stewart Ku00F6nigsberg,
,Samuel Horwitz,D114702,Felix Adler,
Suds,Gladys Louise Smith,Match99,Richard Bryce,
Alvin and the Chipmunks,Celestina Aladekoba,D114704,Jon Vitti,
Something the Lord Made,Mos Def,Match5094,Peter Silverman,
,Lima Duarte,Match1794,Elena Soarez,
,Ethel Mae Blythe,Match2202,"Theodore Strauss (novel)
Charles Haas",
Blood Diamond,Jennifer Lynn Connelly,Match22854,Charles Leavitt,
Road to Bali,Mary Leta Dorothy Slaton,Match13733,Hal Kanter,
Nomad,Jason Scott Lee,Match18135,Rustam Mammad Ibrahim oglu Ibrahimbeyov,
Tot samyy Myunkhgauzen,Oleg Yankovskiy,Match4871,,
,Joseph Zaso,Match5590,Sonja Schnaas,
The Audrey Hepburn Story,Jennifer Love Hewitt,Match7514,Marsha Norman,
,Gene Krupa,Match4850,Ben Hecht,
,Jean Dasté,Match21853,Albert Riéra,
House of Dracula,Richmond Reed Carradine,D114716,Edward T. Lowe Jr.,
,,Match19007,Bill Dansh,
Man of La Mancha,Peter Seamus Ou2019Toole,Match4892,Dale Wasserman,
,Arjun,D114719,M.Ravi,
The Wog Boy,Vince Colosimo,Match17350,Chris Anastassides,
Sold for Marriage,Lillian Diana Gish,Match4469,William E. Wing,
List of Sundance Film Festival award winners,Ron Marquette,Match2325,Michael Feit Dougan,
Huella de luz,Antonio Casal Rivadulla,Match9957,Wenceslao Fernández Flórez,
A Patch of Blue,Sidney Poitier,Match6471,"Elizabeth Kata (novel)
Guy Green",
Banditi a Orgosolo,Vittorina Pisano,Match9321,Vera Gherarducci,
,George F. Marion,Match9499,Eugene O'Neill,
,Sushmita Sen,Match2649,Meghna Gulzar,
The Burning Train,Dharmendra,Match9668,,
HouseSitter,Donald Moffat,Match4109,"Mark Stein (story & screenplay)
Brian Grazer (story)
",
Genie Award for Best Motion Picture,Melvyn Edouard Hesselberg,Match22723,William Gray,
,Sylvie Drapeau,Match8023,Pierre Falardeau,
The Woman in Red,Jerome Silberman,Match5616,Jerome Silberman,
,William Reaves Eason,Match893,Elizabeth R. Carpenter,
California Split,Elliott Goldstein,Match5685,Joseph Walsh,
,Frederic Forrest,D114735,Ennio De Concini,
Twenty Bucks,"William Hall Macy, Jr.",Match4299,"Leslie Boehm
Endre Boehm",
Interdevochka,Lyubov Polischuk,Match818,,
,Louise Fletcher,Match10951,Dan O'Bannon,
City of Glass,u9673u5955u8FC5,Match504,,
Serial (film),,Match1363,,
Adam Had Four Sons,Ingrid Bergman,Match18168,William Hurlbut,
Zwei Frauen,Martha Campbell Plimpton,Match17430,Carl Schenkel,
Female Trouble,David Lochary,Match5370,"John Samuel Waters, Jr.",
Kingdom of Heaven,William John Neeson,Match6241,William Monahan,
,Daniel Michael DeVito Jr.,Match18728,Roger Rueff,
,Lanei Chapman,Match17386,Shari Poindexter,
Frantic,Betty Lynn Buckley,Match10963,Gérard Brach,
Turk 182,Timothy Tarquin Hutton,Match17399,James Gregory Kingston,
Concrete,Masanori Machida,Match611,Hiroshi Kanno,
Mo' Money,Stacey Dash,Match1945,Damon Wayans,
,,Match22716,"Wil McCarthy

Chase Parker",
,Vincent Riotta,D114752,Marc Benardout & Christopher West,
Ghost Story,Frederick Austerlitz Jr.,Match22683,Peter Straub,
Any Which Way You Can,Ruth Gordon Jones,Match2841,Stanford Sherman,
The Pillow Book,Yoshi Oida,Match5078,Peter Greenaway,
,Robert Benchley,Match1302,Mitzi Cummings,
M. Kumaran S/O Mahalakshmi,Vivek (Actor),Match5623,Mohan (editor),
Berlin International Film Festival,Armin Mueller-Stahl,Match1023,Joe Eszterhas,
Voor een paar knikkers meer,Pauline Winckel,Match1906,,
Burning Bridges,Henry DeWitt Carey II,Match8649,"Jack Boyle
Edward J. Meagher",
La Fuga,Ricardo Darin,Match3409,Graciela Maglie,
,Harvey Lee Yeary,Match17938,C.R. O'Christopher,
Kairo,Koji Yakusho,Match17312,Kiyoshi Kurosawa,
,"Kerttisak Udomnak
Nakorn Silachai",D114764,,
Dishonored,Victor McLaglen,Match3350,Josef von Sternberg,
,Gladys Smith,Match1003,Alan Le May,
Baby's Day Out,Jacob Joseph Worton,Match6470,John Hughes (film director),
,Olivia Lee,Match17807,Bryan Edward Hill,
,Silvia Pinal Hidalgo,Match3719,Luis Buñuel,
The Three Lives of Thomasina,Karen Dotrice,Match6095,Paul Gallico,
American Gigolo,"William Henry Duke, Jr.",Match2018,Paul Schrader,
Wolf Dog,"Juan Root
Don Garrard",Match989,Louis Stevens,
Fighting Delinquents,Koji Wada,Match3961,"Gan Yamazaki
Kenzaburo Hara (novel)",
,Jayasurya,D114774,,
Alaipayuthey,KPAC Lalitha,Match8933,Mani Ratnam,
,Gale Klinetsky,D114776,,
Walk Hard: The Dewey Cox Story,Regina Marie Fischer,D114777,Judd Apatow,
The Counter Jumper,Oliver Hardy,Match7846,Larry Semon,
Alone in the Dark,Christian Michael Leonard Hawkins,Match8940,Peter Scheerer,
,George Hayes,Match9888,,
Bluff Master,Ritesh Deshmukh,D114781,"Rajat Arora (dialogue),
Shridhar Raghavan (screenplay)",
The Immigrant,Eric Campbell,Match7829,Vincent Bryan,
,John Harron,Match9951,Garnett Weston,
No Highway in the Sky,Marie Magdalene Dietrich,Match3138,R.C. Sherriff,
Phantasmagoria: The Visions of Lewis Carroll,Daryl Christine Hannah,D114785,Lewis Carroll,
,Andy Samuel Griffith,Match2968,Nelson Gidding,
National Security,Martin Lawrence,Match3030,Jay Scherick,
Reality Bites,Janeane Garofalo,Match3530,Helen Childress,
Love is the Devil,Katherine Mathilda Swinton,Match14375,John Maybury,
Attack of the Killer Tomatoes,David Miller (actor),Match969,Costa Dillon,
,Raymond Walburn,Match10205,Boris Ingster,
,Donald McNichol Sutherland,Match18522,Henry Bromell,
,Lawrence Tierney,D114793,"Burt Kaiser
Bruno VeSota",
,Kevin Norwood Bacon,Match2249,Brian Hohlfeld,
Air Bud: Seventh Inning Fetch,Jay Brazeau,Match9945,Aaron Mendelsohn,
Irham demoui,Faten Ahmed Hamama,Match12819,Yussef Issa,
,Kappei Yamaguchi,D114797,Hiroshi Hashimoto,
3 dev adam,Aytekin Akkaya,Match9327,Dogan Tamer,
,Gong Beibi,D114799,Liu Yiwei,
Bull Durham,Susan Abigail Tomalin,Match1656,Ron Shelton,
,Tony Curran,Match3645,Scott Frank,
Cello,Seong Hyeon-ah,Match5067,Jeong Woo-cheol,
She,Helen Gahagan,Match2574,Ruth Rose,
The Sentinel,Cristina Raines,Match4459,Jeffrey Konvitz,
,,D114805,Sharon Mulally,
When Love Took Wings,Roscoe Arbuckle,Match15066,,
Camera Buff,Jerzy Stuhr,Match2879,Krzysztof Kieu015Blowski,
Strike!,Lynn Redgrave,Match2990,Sarah Kernochan,
Frankie and Johnny,Michelle Marie Pfeiffer,Match4117,Terrence McNally,
The Rehearsal,Laurence Kerr Olivier,Match11157,Julius Dassin,
,James Rebhorn,Match7591,Giovanni Arpino,
,Misha Philipchuk,Match16522,Pavel Chukhrai,
Rush Hour 3,Roman Polanski,Match7469,Jeff Nathanson,
,Bindu,D114814,,
,John Ventantonio,Match6070,Philip Kearney,
,Ivana Baquero,D114816,Marie Noelle,
